#F1	F2	d
MZ22530949	MZ22514477	0.0000
MZ22529903	MZ22516667	0.1786
MZ22530217	MZ22503077	0.0903
MZ22526705	MZ22504316	0.4974
MZ22525608	MZ22526215	-0.0000
MZ22508411	MZ22501992	0.1116
MZ22527086	MZ22515378	0.0000
MZ22528331	MZ22514053	-0.0079
MZ22523672	MZ22527219	-0.0000
MZ22529244	MZ22516566	-0.0005
MZ22527957	MZ22503839	0.2215
MZ22531133	MZ22518613	-0.0000
MZ22506391	MZ22501351	0.1050
MZ22522816	MZ22512552	0.0000
MZ22530513	MZ22509659	0.3976
MZ22518739	MZ22521280	-0.0000
MZ22529857	MZ22518944	0.0000
MZ22529376	MZ22524831	-0.0111
MZ22528587	MZ22513630	0.0000
MZ22530914	MZ22507613	0.0000
MZ22529881	MZ22520692	0.0000
MZ22526924	MZ22527387	0.0000
MZ22518417	MZ22502522	-0.0000
MZ22522692	MZ22517566	0.0000
MZ22530850	MZ22514651	0.0000
MZ22530073	MZ22503138	0.0000
MZ22525125	MZ22519315	0.2008
MZ22530051	MZ22524556	0.0341
MZ22526185	MZ22514972	0.2937
MZ22523299	MZ22514723	-0.0113
MZ22516687	MZ22500665	0.0831
MZ22529948	MZ22500986	0.0306
MZ22508333	MZ22500828	0.2666
MZ22526066	MZ22504398	0.5581
MZ22530056	MZ22500063	-0.0089
MZ22526544	MZ22522742	0.0000
MZ22527231	MZ22508885	-0.0032
MZ22527617	MZ22502373	0.0000
MZ22521979	MZ22510572	0.6759
MZ22519971	MZ22515997	0.2337
MZ22529635	MZ22514088	0.0000
MZ22530073	MZ22512455	0.0000
MZ22529492	MZ22513620	0.0000
MZ22530384	MZ22525028	0.0000
MZ22526268	MZ22504940	0.0200
MZ22526634	MZ22525558	-0.0205
MZ22529773	MZ22515666	-0.0000
MZ22523037	MZ22510477	0.6551
MZ22530831	MZ22501912	0.2080
MZ22523719	MZ22507270	0.1138
MZ22530281	MZ22515333	-0.0060
MZ22530960	MZ22508812	-0.0046
MZ22524652	MZ22518299	-0.0185
MZ22517038	MZ22521547	-0.0198
MZ22530424	MZ22526863	-0.0076
MZ22520225	MZ22504343	0.5517
MZ22526084	MZ22524876	-0.0112
MZ22501810	MZ22500325	0.3483
MZ22524290	MZ22503122	-0.0079
MZ22531204	MZ22518529	-0.0014
MZ22530438	MZ22501867	0.0551
MZ22515911	MZ22501591	0.1292
MZ22527807	MZ22515303	0.0000
MZ22526745	MZ22508252	0.0000
MZ22527538	MZ22506961	0.0000
MZ22527767	MZ22518894	-0.0053
MZ22530817	MZ22508286	0.0000
MZ22530014	MZ22523317	0.0000
MZ22524713	MZ22517702	0.3522
MZ22527004	MZ22525398	0.0763
MZ22526289	MZ22511206	0.0000
MZ22527793	MZ22507132	-0.0068
MZ22515370	MZ22505146	0.5097
MZ22530100	MZ22505227	0.0000
MZ22527515	MZ22504845	0.5895
MZ22527241	MZ22523179	0.1085
MZ22526930	MZ22518428	-0.0122
MZ22525046	MZ22517900	0.0000
MZ22525394	MZ22515185	0.7433
MZ22526812	MZ22519009	0.0000
MZ22528455	MZ22511245	0.7812
MZ22530941	MZ22518507	0.0000
MZ22523240	MZ22501355	-0.0045
MZ22529566	MZ22505681	-0.0048
MZ22526041	MZ22518608	0.4432
MZ22525873	MZ22514835	-0.0000
MZ22529730	MZ22506493	-0.0034
MZ22521553	MZ22505244	0.2437
MZ22530510	MZ22514958	0.5838
MZ22521647	MZ22520334	0.0000
MZ22527479	MZ22513924	0.7108
MZ22512891	MZ22500868	0.1675
MZ22530721	MZ22518980	-0.0107
MZ22528663	MZ22504235	0.0000
MZ22531098	MZ22515207	-0.0057
MZ22528924	MZ22513999	0.0000
MZ22513137	MZ22503370	0.2345
MZ22529828	MZ22521070	0.0000
MZ22529735	MZ22502306	-0.0048
MZ22529442	MZ22511156	0.0000
MZ22525327	MZ22503465	0.5848
MZ22525240	MZ22523440	0.0000
MZ22528599	MZ22510745	0.0000
MZ22503302	MZ22500742	0.7025
MZ22529668	MZ22524468	0.0000
MZ22519377	MZ22504801	0.6342
MZ22524284	MZ22504081	0.3722
MZ22529784	MZ22522505	-0.0043
MZ22526954	MZ22523970	0.0000
MZ22530244	MZ22515738	0.0000
MZ22531151	MZ22526315	-0.0038
MZ22525356	MZ22521824	-0.0188
MZ22525474	MZ22512168	0.0000
MZ22512392	MZ22510265	0.0000
MZ22529551	MZ22503896	0.0000
MZ22529872	MZ22510487	-0.0182
MZ22530611	MZ22503280	0.1538
MZ22526409	MZ22515367	-0.0121
MZ22530464	MZ22507027	0.6110
MZ22518957	MZ22501572	-0.0006
MZ22530132	MZ22501631	0.0000
MZ22529797	MZ22506296	0.0000
MZ22528747	MZ22500529	0.0353
MZ22529394	MZ22506182	0.0000
MZ22527283	MZ22524050	0.0604
MZ22527108	MZ22517469	0.2353
MZ22526789	MZ22502291	0.0000
MZ22523896	MZ22517173	0.4830
MZ22527703	MZ22501648	0.0051
MZ22528095	MZ22516504	-0.0038
MZ22529231	MZ22510173	0.0000
MZ22528780	MZ22503775	0.3007
MZ22527193	MZ22515495	0.0406
MZ22529880	MZ22517451	-0.0017
MZ22505225	MZ22515227	0.4230
MZ22527016	MZ22517296	0.0000
MZ22531209	MZ22515239	-0.0177
MZ22529283	MZ22502658	0.0000
MZ22529902	MZ22502601	0.0000
MZ22529078	MZ22513234	0.0000
MZ22514952	MZ22506648	-0.0000
MZ22511002	MZ22500710	0.3497
MZ22530468	MZ22503653	0.0000
MZ22529933	MZ22503059	0.0000
MZ22530884	MZ22503368	-0.0012
MZ22529812	MZ22517451	0.1145
MZ22528724	MZ22515957	-0.0000
MZ22526072	MZ22521589	-0.0121
MZ22530765	MZ22523997	-0.0101
MZ22529497	MZ22503617	0.0000
MZ22529923	MZ22522305	0.0000
MZ22528590	MZ22505873	-0.0006
MZ22524714	MZ22510691	-0.0113
MZ22517834	MZ22504907	0.6991
MZ22521816	MZ22512402	0.0456
MZ22526936	MZ22519449	0.0000
MZ22519015	MZ22500413	0.0114
MZ22530635	MZ22516456	0.0000
MZ22527508	MZ22501918	0.0910
MZ22530182	MZ22518721	0.1545
MZ22527477	MZ22514083	-0.0105
MZ22530310	MZ22502076	0.3118
MZ22519631	MZ22516300	0.3764
MZ22529756	MZ22520791	-0.0042
MZ22529455	MZ22509995	0.0623
MZ22527814	MZ22502957	0.0000
MZ22524748	MZ22503555	0.0000
MZ22527368	MZ22505716	-0.0162
MZ22526898	MZ22515386	0.0317
MZ22527750	MZ22510972	-0.0000
MZ22528976	MZ22526379	0.0000
MZ22513157	MZ22515552	0.0000
MZ22527966	MZ22518236	0.0000
MZ22528329	MZ22506500	0.2385
MZ22526677	MZ22505122	0.4486
MZ22517400	MZ22500547	0.0000
MZ22526437	MZ22518557	0.2457
MZ22521798	MZ22520032	0.0000
MZ22524910	MZ22501973	0.3262
MZ22529186	MZ22501398	0.0000
MZ22529471	MZ22507750	0.0000
MZ22530211	MZ22521781	-0.0128
MZ22514715	MZ22501260	0.2799
MZ22530530	MZ22527291	0.0000
MZ22529645	MZ22517202	0.0000
MZ22530717	MZ22523931	-0.0028
MZ22530308	MZ22512569	0.0000
MZ22525938	MZ22519300	0.0000
MZ22527676	MZ22522951	0.2577
MZ22531249	MZ22506301	0.0000
MZ22525037	MZ22510765	0.2067
MZ22507016	MZ22500247	0.0239
MZ22524252	MZ22512863	0.6175
MZ22531096	MZ22523132	0.0000
MZ22529299	MZ22511521	0.6525
MZ22527267	MZ22500025	-0.0121
MZ22528586	MZ22504646	0.0000
MZ22526680	MZ22522625	0.0166
MZ22530646	MZ22508661	-0.0039
MZ22516790	MZ22506208	0.0431
MZ22530263	MZ22514012	0.0000
MZ22527639	MZ22517166	-0.0071
MZ22527167	MZ22506419	-0.0184
MZ22530740	MZ22507969	0.0000
MZ22528596	MZ22509535	0.0000
MZ22520799	MZ22525879	0.0000
MZ22527432	MZ22509307	-0.0000
MZ22525839	MZ22500859	-0.0067
MZ22529981	MZ22529147	0.0000
MZ22526783	MZ22502803	0.0251
MZ22525339	MZ22510252	0.3796
MZ22530853	MZ22523487	0.0000
MZ22529407	MZ22512973	-0.0018
MZ22525173	MZ22506505	-0.0023
MZ22526316	MZ22511334	0.2572
MZ22530189	MZ22515239	-0.0177
MZ22516301	MZ22500618	0.1509
MZ22530208	MZ22516149	-0.0000
MZ22527492	MZ22515893	-0.0092
MZ22530013	MZ22527323	-0.0000
MZ22515538	MZ22500365	0.0000
MZ22514170	MZ22503295	0.2328
MZ22530555	MZ22503389	0.0000
MZ22527343	MZ22507906	0.0000
MZ22529853	MZ22516908	0.0000
MZ22528095	MZ22508231	0.0000
MZ22515538	MZ22526713	-0.0137
MZ22523719	MZ22504336	0.0076
MZ22528883	MZ22501520	0.0000
MZ22524138	MZ22506788	0.0000
MZ22509892	MZ22522115	-0.0175
MZ22511767	MZ22501080	0.6382
MZ22527673	MZ22510244	0.3415
MZ22528313	MZ22515475	0.0000
MZ22524313	MZ22504115	0.0000
MZ22526281	MZ22510451	-0.0000
MZ22529480	MZ22514048	-0.0182
MZ22528891	MZ22502912	0.2272
MZ22528322	MZ22513163	0.0000
MZ22526375	MZ22502128	0.0000
MZ22516180	MZ22507223	0.6687
MZ22528920	MZ22519849	-0.0034
MZ22529092	MZ22515438	0.0000
MZ22529644	MZ22507851	-0.0040
MZ22530282	MZ22513168	0.0000
MZ22529124	MZ22518743	-0.0176
MZ22528758	MZ22526545	-0.0074
MZ22526977	MZ22502085	0.1269
MZ22524185	MZ22522177	0.2776
MZ22509408	MZ22509181	0.0950
MZ22521883	MZ22506640	-0.0088
MZ22523038	MZ22509375	-0.0021
MZ22529738	MZ22510047	0.0000
MZ22512731	MZ22516481	0.0085
MZ22527202	MZ22503773	0.0000
MZ22525295	MZ22507308	-0.0026
MZ22527616	MZ22525783	0.1042
MZ22530674	MZ22507373	-0.0029
MZ22530747	MZ22501412	-0.0087
MZ22520520	MZ22501481	0.3794
MZ22529947	MZ22510768	0.5101
MZ22529055	MZ22506312	0.3161
MZ22526257	MZ22523885	0.0662
MZ22526141	MZ22509977	0.0754
MZ22525546	MZ22513535	0.0000
MZ22524783	MZ22504218	0.0000
MZ22526031	MZ22515942	0.1120
MZ22516743	MZ22500472	0.0150
MZ22527377	MZ22506112	0.0223
MZ22530466	MZ22501266	-0.0206
MZ22526658	MZ22520950	-0.0084
MZ22530660	MZ22501461	0.0427
MZ22531093	MZ22502292	-0.0043
MZ22530356	MZ22501008	0.0000
MZ22529555	MZ22507508	0.0000
MZ22529396	MZ22524407	0.0000
MZ22526888	MZ22513969	0.1474
MZ22525820	MZ22519346	-0.0000
MZ22528634	MZ22505179	-0.0052
MZ22527402	MZ22516685	0.1459
MZ22519294	MZ22509686	0.0000
MZ22526269	MZ22504001	-0.0104
MZ22527814	MZ22507947	-0.0061
MZ22531064	MZ22508258	0.0940
MZ22530008	MZ22522365	0.0000
MZ22530556	MZ22508838	-0.0000
MZ22512674	MZ22503814	0.9611
MZ22529307	MZ22523396	-0.0120
MZ22514944	MZ22505075	0.7817
MZ22527077	MZ22516553	0.0631
MZ22530255	MZ22519462	0.0000
MZ22527449	MZ22506066	0.1058
MZ22521509	MZ22509669	0.0113
MZ22529007	MZ22507550	0.5886
MZ22530399	MZ22515195	0.0000
MZ22531153	MZ22503553	0.0000
MZ22530870	MZ22520719	-0.0040
MZ22506540	MZ22501297	0.3200
MZ22521306	MZ22523353	-0.0000
MZ22530861	MZ22514772	0.4450
MZ22529789	MZ22508746	-0.0041
MZ22528772	MZ22506837	0.0000
MZ22521978	MZ22519981	0.4000
MZ22508960	MZ22500975	-0.0055
MZ22527913	MZ22504679	0.0000
MZ22530376	MZ22505424	0.0000
MZ22523718	MZ22524742	-0.0000
MZ22527829	MZ22510029	0.0000
MZ22530278	MZ22515930	0.0000
MZ22527622	MZ22522065	-0.0000
MZ22520100	MZ22503815	0.4949
MZ22530573	MZ22524927	0.0534
MZ22509126	MZ22502620	0.6514
MZ22501511	MZ22500013	0.2509
MZ22515885	MZ22506282	0.1439
MZ22530624	MZ22525962	-0.0106
MZ22528271	MZ22506608	0.0000
MZ22527938	MZ22517390	-0.0017
MZ22522007	MZ22505820	0.0000
MZ22517860	MZ22507214	0.2166
MZ22531076	MZ22502387	0.0000
MZ22530742	MZ22522674	0.0000
MZ22511679	MZ22511587	0.1552
MZ22529995	MZ22507856	-0.0004
MZ22516230	MZ22506207	0.6447
MZ22529487	MZ22502732	0.0000
MZ22517718	MZ22506911	0.6160
MZ22527963	MZ22514525	0.0000
MZ22530727	MZ22503247	0.0000
MZ22527991	MZ22505349	0.0000
MZ22522259	MZ22510496	0.5268
MZ22523688	MZ22500881	0.3132
MZ22530270	MZ22509022	0.0000
MZ22529916	MZ22523925	0.0000
MZ22530188	MZ22515614	0.0000
MZ22524747	MZ22502418	0.2739
MZ22529178	MZ22505504	0.3418
MZ22512261	MZ22506740	0.0000
MZ22518611	MZ22518390	0.1506
MZ22527411	MZ22504006	0.0000
MZ22530526	MZ22502710	-0.0056
MZ22530566	MZ22521761	-0.0053
MZ22530994	MZ22518108	0.2387
MZ22525519	MZ22510550	0.2949
MZ22521983	MZ22516438	0.6787
MZ22530650	MZ22522931	0.0000
MZ22529288	MZ22500806	-0.0197
MZ22522535	MZ22519660	0.0000
MZ22512496	MZ22517464	-0.0000
MZ22528319	MZ22528454	0.0000
MZ22529049	MZ22500693	0.9329
MZ22524270	MZ22519304	0.0799
MZ22523611	MZ22507405	0.5903
MZ22524195	MZ22506122	0.0659
MZ22514788	MZ22503886	0.1228
MZ22512486	MZ22502549	0.2215
MZ22523125	MZ22524779	-0.0000
MZ22518350	MZ22506152	0.5893
MZ22517117	MZ22505592	0.2709
MZ22525687	MZ22503716	0.0000
MZ22525873	MZ22509497	-0.0000
MZ22530032	MZ22504295	0.0000
MZ22526505	MZ22502117	0.0000
MZ22524123	MZ22509246	0.0000
MZ22529844	MZ22514807	0.0000
MZ22530496	MZ22502387	0.0000
MZ22526575	MZ22508704	0.0000
MZ22529908	MZ22517894	0.0000
MZ22530822	MZ22501086	-0.0092
MZ22526059	MZ22501867	0.0466
MZ22530403	MZ22506083	0.0000
MZ22509543	MZ22500310	0.2211
MZ22530380	MZ22505047	-0.0000
MZ22531115	MZ22524771	-0.0022
MZ22521121	MZ22507817	0.0000
MZ22529396	MZ22524316	-0.0087
MZ22525766	MZ22513594	-0.0057
MZ22520633	MZ22512131	0.0296
MZ22528537	MZ22527021	0.0000
MZ22530096	MZ22510208	0.0000
MZ22527429	MZ22502098	0.0000
MZ22530591	MZ22505120	-0.0068
MZ22530940	MZ22527176	0.5667
MZ22530403	MZ22515465	-0.0036
