#F1	F2	d
MZ22525327	MZ22503465	0.5848
MZ22503302	MZ22500742	0.7025
MZ22519377	MZ22504801	0.6342
MZ22524284	MZ22504081	0.3722
MZ22530464	MZ22507027	0.6110
MZ22523896	MZ22517173	0.4830
MZ22528780	MZ22503775	0.3007
MZ22505225	MZ22515227	0.4230
MZ22511002	MZ22500710	0.3497
MZ22517834	MZ22504907	0.6991
MZ22530310	MZ22502076	0.3118
MZ22519631	MZ22516300	0.3764
MZ22526677	MZ22505122	0.4486
MZ22524910	MZ22501973	0.3262
MZ22514715	MZ22501260	0.2799
MZ22524252	MZ22512863	0.6175
MZ22529299	MZ22511521	0.6525
MZ22525339	MZ22510252	0.3796
MZ22511767	MZ22501080	0.6382
MZ22527673	MZ22510244	0.3415
MZ22516180	MZ22507223	0.6687
MZ22524185	MZ22522177	0.2776
MZ22520520	MZ22501481	0.3794
MZ22529947	MZ22510768	0.5101
MZ22529055	MZ22506312	0.3161
MZ22512674	MZ22503814	0.9611
MZ22514944	MZ22505075	0.7817
MZ22529007	MZ22507550	0.5886
MZ22506540	MZ22501297	0.3200
MZ22530861	MZ22514772	0.4450
MZ22521978	MZ22519981	0.4000
MZ22520100	MZ22503815	0.4949
MZ22509126	MZ22502620	0.6514
MZ22516230	MZ22506207	0.6447
MZ22517718	MZ22506911	0.6160
MZ22522259	MZ22510496	0.5268
MZ22523688	MZ22500881	0.3132
MZ22524747	MZ22502418	0.2739
MZ22529178	MZ22505504	0.3418
MZ22525519	MZ22510550	0.2949
MZ22521983	MZ22516438	0.6787
MZ22529049	MZ22500693	0.9329
MZ22523611	MZ22507405	0.5903
MZ22518350	MZ22506152	0.5893
MZ22517117	MZ22505592	0.2709
MZ22530940	MZ22527176	0.5667
MZ22520737	MZ22518797	0.6241
MZ22510001	MZ22501608	1.0095
MZ22523692	MZ22505011	0.3408
MZ22529702	MZ22521881	0.5882
MZ22527863	MZ22503507	0.3122
MZ22509382	MZ22509421	0.2958
MZ22525273	MZ22520475	0.3881
MZ22520745	MZ22511648	0.2983
MZ22525368	MZ22523606	0.3214
MZ22519837	MZ22503215	0.7313
MZ22528855	MZ22528853	0.7129
MZ22513037	MZ22503206	0.4230
MZ22527657	MZ22522966	0.3905
MZ22528622	MZ22510516	0.6884
MZ22528705	MZ22503972	0.5612
MZ22510313	MZ22501350	0.3633
MZ22521852	MZ22510939	0.4467
MZ22526006	MZ22508840	0.7086
MZ22527389	MZ22519983	0.4944
MZ22529682	MZ22507224	0.3168
MZ22529741	MZ22530769	0.6323
MZ22502847	MZ22500081	0.6226
MZ22515566	MZ22504166	0.7125
MZ22508479	MZ22500529	0.2736
MZ22522010	MZ22508176	0.4215
MZ22520632	MZ22512331	0.2803
MZ22515656	MZ22504493	0.5396
MZ22525034	MZ22522293	0.7194
MZ22521165	MZ22500683	0.3215
MZ22525944	MZ22507890	0.4840
MZ22524881	MZ22521782	0.3989
MZ22509687	MZ22501044	0.4080
MZ22523000	MZ22505804	0.4193
MZ22518791	MZ22505694	0.5508
MZ22522609	MZ22513300	0.3585
MZ22512121	MZ22500403	0.4366
MZ22526487	MZ22512400	0.3370
MZ22521960	MZ22504163	0.3741
MZ22507470	MZ22506754	0.4036
MZ22530632	MZ22517414	0.4545
MZ22525662	MZ22522999	0.3037
MZ22521159	MZ22506092	0.7268
MZ22525704	MZ22518682	0.6423
MZ22526726	MZ22508643	0.7475
MZ22515991	MZ22500472	0.4050
MZ22517204	MZ22516876	0.6757
MZ22513306	MZ22501365	0.2732
MZ22529780	MZ22513309	0.8333
MZ22529056	MZ22513558	0.5104
MZ22530508	MZ22513426	0.2819
MZ22512020	MZ22504193	0.7259
MZ22506795	MZ22501526	0.2875
MZ22529030	MZ22500115	0.4783
MZ22525841	MZ22522042	0.5344
MZ22521548	MZ22512538	0.5633
MZ22529204	MZ22504908	0.5250
MZ22529258	MZ22503698	0.5305
MZ22515171	MZ22502782	0.3122
MZ22528988	MZ22502937	0.2959
MZ22526237	MZ22504138	0.3613
MZ22529291	MZ22502645	0.6969
MZ22529963	MZ22500590	0.3056
MZ22518070	MZ22508805	0.7519
MZ22525140	MZ22517093	0.7137
MZ22526091	MZ22508612	0.4897
MZ22522635	MZ22513876	0.4934
MZ22503935	MZ22500374	0.5702
MZ22517642	MZ22501748	0.5176
MZ22519685	MZ22504283	0.3251
MZ22525229	MZ22507914	0.3772
MZ22513198	MZ22504105	0.3051
MZ22526458	MZ22514645	0.8054
MZ22525831	MZ22516369	0.3711
MZ22529589	MZ22525265	0.9891
MZ22521676	MZ22503960	0.5086
MZ22526239	MZ22514519	0.6137
MZ22529674	MZ22508905	0.5686
MZ22522061	MZ22502474	0.3464
MZ22525592	MZ22509566	0.2880
MZ22527232	MZ22526212	0.3570
MZ22511948	MZ22502185	0.5468
MZ22530553	MZ22508554	0.5941
MZ22520753	MZ22507937	0.7794
MZ22526590	MZ22517399	0.2992
MZ22515822	MZ22505720	0.6639
MZ22520505	MZ22509936	0.3471
MZ22528890	MZ22500821	0.5096
MZ22526389	MZ22514408	0.6267
MZ22528926	MZ22501751	0.3633
MZ22529369	MZ22504555	0.6429
MZ22527782	MZ22502471	0.4825
MZ22530179	MZ22509586	0.3359
MZ22519480	MZ22508209	0.2801
MZ22523964	MZ22501785	0.3375
MZ22511703	MZ22503706	0.7082
MZ22522729	MZ22501411	0.3410
MZ22522244	MZ22515198	0.7861
MZ22522412	MZ22508213	0.5622
MZ22517048	MZ22513944	0.4102
MZ22520086	MZ22508836	0.4674
MZ22526280	MZ22503281	0.5026
MZ22521190	MZ22506122	0.4756
MZ22523722	MZ22518771	0.4690
MZ22526422	MZ22519973	0.4837
MZ22527316	MZ22518398	0.2998
MZ22506720	MZ22500086	0.9671
MZ22518702	MZ22502933	0.5787
MZ22519988	MZ22510573	0.6821
MZ22508059	MZ22500671	0.9179
MZ22527398	MZ22501095	0.3309
MZ22505965	MZ22500405	0.3750
MZ22520852	MZ22516593	1.0325
MZ22525431	MZ22503597	0.4462
MZ22520513	MZ22500880	0.3263
MZ22528382	MZ22505573	0.4774
MZ22521493	MZ22504709	0.5690
MZ22529769	MZ22515408	0.8481
MZ22527489	MZ22513316	0.2835
MZ22525702	MZ22510626	0.5488
MZ22520603	MZ22506376	0.4648
MZ22516350	MZ22503251	0.4008
MZ22527624	MZ22509448	0.2686
MZ22525253	MZ22515834	0.6163
MZ22527065	MZ22511931	0.6813
MZ22526925	MZ22522786	0.6774
MZ22518320	MZ22502581	0.6983
MZ22517028	MZ22507394	0.6660
MZ22525800	MZ22518537	0.3277
MZ22512892	MZ22512080	0.3494
MZ22513078	MZ22502920	0.3666
MZ22530654	MZ22505624	0.3613
MZ22514065	MZ22505081	0.7657
MZ22528481	MZ22501784	0.3446
MZ22512431	MZ22503376	0.5401
MZ22523663	MZ22515477	0.5982
MZ22529819	MZ22504901	0.5005
MZ22529433	MZ22502268	0.5583
MZ22522537	MZ22502535	0.3285
MZ22508705	MZ22500461	0.4434
MZ22519008	MZ22508304	0.4763
MZ22508266	MZ22501897	0.4312
MZ22522197	MZ22507882	0.4265
MZ22529387	MZ22517496	0.4940
MZ22526996	MZ22506449	0.3170
MZ22530415	MZ22523870	0.3424
MZ22507335	MZ22501385	0.4673
MZ22518949	MZ22509202	0.8225
MZ22502784	MZ22500128	0.3183
MZ22519842	MZ22513359	0.3479
MZ22522990	MZ22521201	0.3896
MZ22522913	MZ22508861	0.7763
MZ22513649	MZ22504300	0.3494
MZ22524973	MZ22512210	0.6285
MZ22506081	MZ22503151	0.4435
MZ22519085	MZ22518004	0.3737
MZ22519864	MZ22503420	0.6023
MZ22507310	MZ22502765	0.2697
MZ22517928	MZ22502795	0.7481
MZ22522586	MZ22509537	0.5273
MZ22509596	MZ22501082	0.3368
MZ22516599	MZ22504079	0.6366
MZ22526870	MZ22505796	0.4068
MZ22505508	MZ22504796	0.5332
MZ22510970	MZ22503502	0.7200
MZ22517480	MZ22507292	0.6456
MZ22512310	MZ22506675	0.6220
MZ22530860	MZ22509333	0.4018
MZ22530692	MZ22512001	0.4171
MZ22527027	MZ22522044	0.3898
MZ22522207	MZ22512497	0.3485
MZ22509664	MZ22503124	0.6312
MZ22509884	MZ22503417	0.9970
MZ22524517	MZ22504758	0.4322
MZ22521971	MZ22504476	0.6302
MZ22527542	MZ22523350	0.6505
MZ22529759	MZ22510333	0.4384
MZ22521759	MZ22507760	0.3105
MZ22513834	MZ22503164	0.4492
MZ22527082	MZ22506063	0.5526
MZ22522005	MZ22517941	0.2681
MZ22530515	MZ22504022	0.3989
MZ22529611	MZ22508290	0.7027
MZ22520461	MZ22510081	0.5963
MZ22516112	MZ22504938	0.5472
MZ22528120	MZ22503390	0.2856
MZ22519814	MZ22504497	0.4862
MZ22513605	MZ22501716	0.6402
MZ22523466	MZ22514823	0.3477
MZ22526945	MZ22519234	0.3625
MZ22529003	MZ22522263	0.3985
MZ22518997	MZ22513805	0.5497
MZ22526739	MZ22501042	0.4479
MZ22530826	MZ22526554	0.7275
MZ22513062	MZ22502934	0.5502
MZ22521915	MZ22508471	0.7383
MZ22509938	MZ22506679	0.4570
MZ22518297	MZ22513576	0.3984
MZ22522193	MZ22506733	0.6108
MZ22516260	MZ22503883	0.4853
MZ22528172	MZ22503148	0.3863
MZ22509729	MZ22502137	0.3929
MZ22505652	MZ22500845	0.7856
MZ22516556	MZ22504422	0.4518
MZ22522217	MZ22505732	0.8138
MZ22525528	MZ22508817	0.3803
MZ22520905	MZ22517410	0.4901
MZ22529278	MZ22501565	0.6513
MZ22527632	MZ22515296	0.3827
MZ22527051	MZ22516330	0.3277
MZ22525040	MZ22519529	0.3046
MZ22522449	MZ22505777	0.3685
MZ22516282	MZ22502538	0.5863
MZ22508913	MZ22502229	0.5688
MZ22528268	MZ22506885	0.9477
MZ22512845	MZ22500701	0.6001
MZ22512726	MZ22501929	0.6900
MZ22528142	MZ22507761	0.7530
MZ22530115	MZ22500806	0.2727
MZ22530787	MZ22502823	0.6409
MZ22516279	MZ22511637	0.4779
MZ22529235	MZ22507700	0.5310
MZ22507383	MZ22501480	0.5688
MZ22529928	MZ22523228	0.7636
MZ22519516	MZ22508888	0.3432
MZ22528208	MZ22519372	0.5312
MZ22531004	MZ22527540	0.5092
MZ22528534	MZ22519014	0.4817
MZ22511662	MZ22501221	0.3645
MZ22513348	MZ22501314	0.3390
MZ22514099	MZ22501321	0.5511
MZ22529855	MZ22507378	0.6516
MZ22519901	MZ22509749	0.4616
MZ22510054	MZ22500945	0.4684
MZ22527097	MZ22510566	0.8219
MZ22519703	MZ22510682	0.3708
MZ22513317	MZ22503330	0.7343
MZ22522231	MZ22515757	0.6592
MZ22514898	MZ22504530	0.8412
MZ22529459	MZ22500079	0.4316
MZ22529089	MZ22502584	0.2898
MZ22529279	MZ22514289	0.7807
MZ22527713	MZ22516538	0.2761
MZ22529790	MZ22510716	0.8785
MZ22516351	MZ22506078	0.5413
MZ22514442	MZ22502568	0.4437
MZ22525149	MZ22507735	0.6656
MZ22530832	MZ22527893	0.5186
MZ22523244	MZ22515537	0.2896
MZ22528721	MZ22501664	0.5003
MZ22522209	MZ22516326	0.9573
MZ22521678	MZ22513644	0.3228
MZ22521533	MZ22518174	0.4245
MZ22528284	MZ22520960	0.3984
MZ22520313	MZ22506696	0.5567
MZ22511168	MZ22503637	0.5715
MZ22513537	MZ22505432	0.6857
MZ22516937	MZ22503174	0.3443
MZ22531187	MZ22508437	0.3508
MZ22523790	MZ22505943	0.5413
MZ22529390	MZ22510632	0.6086
MZ22530600	MZ22502567	0.5374
MZ22524928	MZ22514472	0.3350
MZ22531123	MZ22507742	0.2747
MZ22527470	MZ22510362	0.2699
MZ22522349	MZ22507899	0.6004
MZ22515524	MZ22505844	0.5825
