F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s12 	 s 	 d 
MZ22528626	MZ22503849	0	0.000000	0.084059	0.023443	0.073552	-0.050109	
MZ22530733	MZ22505306	0	1.000000	0.832013	0.840013	0.853011	-0.012999	
MZ22530567	MZ22505306	0	0.000000	0.832013	0.715013	0.728011	-0.012999	
MZ22501194	MZ22503731	16	0.092974	0.634207	0.809027	0.544001	0.265026	
MZ22522073	MZ22515097	26	-0.532704	0.168061	0.369506	0.051267	0.318240	
MZ22528569	MZ22516011	0	1.000000	0.800000	0.823529	0.823529	0.000000	
MZ22527961	MZ22516164	0	0.107368	0.444721	0.284969	0.407237	-0.122269	
MZ22526841	MZ22526881	0	0.070786	1.000000	0.651936	0.825772	-0.173837	
MZ22528442	MZ22507303	0	1.000000	0.045967	0.059652	0.165221	-0.105569	
MZ22528979	MZ22514124	0	1.000000	0.866667	0.882353	0.882353	-0.000000	
MZ22528769	MZ22508297	20	0.611647	0.217636	0.920092	0.287167	0.632925	
MZ22531075	MZ22502785	0	-0.500000	-0.041163	-0.179329	-0.095144	-0.084185	
MZ22528939	MZ22506238	0	1.000000	0.203701	0.206246	0.297383	-0.091137	
MZ22514725	MZ22502949	48	0.190943	-0.083889	0.488326	-0.040494	0.528820	
MZ22518279	MZ22526701	0	0.129083	0.774830	0.471314	0.660875	-0.189560	
MZ22528949	MZ22524582	0	-0.500000	0.866667	0.705882	0.705883	-0.000000	
MZ22529513	MZ22519442	0	0.000000	0.809524	0.739130	0.739131	-0.000000	
MZ22512069	MZ22507380	17	0.274786	0.636622	0.917236	0.582347	0.334889	
MZ22530326	MZ22521243	0	0.000000	0.848376	0.731534	0.742329	-0.010795	
MZ22528198	MZ22512960	0	0.000000	0.642857	0.562500	0.562500	0.000000	
MZ22530621	MZ22525617	0	0.113901	1.000000	0.773014	0.895753	-0.122739	
MZ22513245	MZ22516531	40	-0.097203	0.399156	0.937500	0.213021	0.724479	
MZ22525742	MZ22519193	11	-1.000000	0.020272	0.146357	-0.219792	0.366149	
MZ22515311	MZ22506271	0	0.500000	0.769231	0.705882	0.705883	-0.000000	
MZ22529810	MZ22514452	0	0.000000	0.800000	0.666667	0.666667	0.000000	
MZ22528963	MZ22525996	0	0.129838	0.928571	0.697125	0.828729	-0.131604	
MZ22528701	MZ22509677	0	0.141355	0.412352	0.168719	0.378477	-0.209759	
MZ22530775	MZ22510771	0	0.000000	0.807123	0.680268	0.706233	-0.025965	
MZ22531113	MZ22517197	0	0.000000	0.902250	0.776310	0.789469	-0.013158	
MZ22528316	MZ22520576	0	0.000000	0.849237	0.722788	0.743082	-0.020295	
MZ22530524	MZ22518136	0	0.889989	1.000000	0.899062	0.987058	-0.087995	
MZ22530913	MZ22524141	0	0.000000	0.954057	0.842605	0.848051	-0.005445	
MZ22529418	MZ22521351	0	1.000000	0.933333	0.941176	0.941176	0.000000	
MZ22528606	MZ22524282	0	0.000000	0.866667	0.764706	0.764706	-0.000000	
MZ22523747	MZ22513314	6	0.867858	0.514403	0.823529	0.576777	0.246752	
MZ22511815	MZ22511180	32	-0.071848	0.014943	0.339945	0.005300	0.334646	
MZ22528597	MZ22513334	0	0.064228	0.941176	0.743092	0.848866	-0.105774	
MZ22528743	MZ22522532	0	1.000000	0.768608	0.766663	0.795831	-0.029167	
MZ22520185	MZ22521381	14	0.333333	0.582084	0.532204	0.538187	-0.005983	
MZ22524065	MZ22525160	60	0.194004	-0.108248	1.000000	-0.024289	1.024289	
MZ22528405	MZ22515097	19	-0.146848	0.168061	0.144481	0.131013	0.013468	
MZ22528472	MZ22519883	0	0.666667	0.159592	0.166402	0.249076	-0.082674	
MZ22509954	MZ22507549	0	0.822823	0.640358	0.495253	0.697378	-0.202125	
MZ22521951	MZ22520299	16	0.750608	0.362536	0.888889	0.448774	0.440115	
MZ22527715	MZ22524202	1	-0.250000	0.969778	0.788284	0.664834	0.123451	
MZ22522919	MZ22506943	52	-0.006484	0.018766	0.494268	0.012825	0.481443	
MZ22528939	MZ22524733	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22528880	MZ22502673	0	1.000000	0.882124	0.880990	0.896859	-0.015868	
MZ22530775	MZ22520491	0	0.000000	0.740677	0.624087	0.653539	-0.029451	
MZ22522161	MZ22502612	0	0.000000	0.500000	0.428571	0.428571	0.000000	
MZ22521767	MZ22521498	16	0.297340	0.464213	1.000000	0.422495	0.577505	
MZ22513427	MZ22511280	0	0.000000	0.764706	0.684211	0.684211	-0.000000	
MZ22520278	MZ22523370	59	0.012603	0.099337	0.843939	0.066812	0.777127	
MZ22529209	MZ22524733	0	0.109079	1.000000	0.772971	0.895186	-0.122215	
MZ22509118	MZ22500963	48	0.256168	-0.193873	-0.003467	-0.093864	0.090397	
MZ22529135	MZ22515350	32	0.024075	-0.017548	0.861803	-0.012923	0.874727	
MZ22528813	MZ22524150	0	0.000000	1.000000	0.882353	0.882353	0.000000	
MZ22531015	MZ22525780	28	0.054255	-0.016198	1.000000	-0.007391	1.007391	
MZ22527979	MZ22510562	0	0.772741	0.933333	0.755242	0.914440	-0.159198	
MZ22522486	MZ22516705	48	-0.022974	0.174812	0.312490	0.125365	0.187125	
MZ22527539	MZ22524913	0	0.000000	0.857143	0.750000	0.750000	-0.000000	
MZ22530641	MZ22515923	0	0.000000	1.000000	0.882353	0.882353	0.000000	
MZ22524393	MZ22513599	33	0.216611	0.090989	0.875875	0.113158	0.762718	
MZ22528797	MZ22519827	30	0.003897	-0.015156	0.732074	-0.012914	0.744989	
MZ22528875	MZ22513314	0	0.859839	0.514403	0.463286	0.557583	-0.094296	
MZ22503562	MZ22507874	30	-0.126194	0.465470	0.818521	0.366859	0.451662	
MZ22528169	MZ22512960	0	-0.500000	0.642857	0.500000	0.500000	0.000000	
MZ22506809	MZ22509191	39	-0.193607	0.300546	0.931958	0.222522	0.709436	
MZ22520997	MZ22515611	0	0.326845	1.000000	0.723227	0.873783	-0.150556	
MZ22531194	MZ22517741	0	0.000000	0.871636	0.745402	0.762682	-0.017280	
MZ22530125	MZ22523278	24	0.141341	0.025814	1.000000	0.039405	0.960595	
MZ22530426	MZ22523278	0	-0.500000	0.025814	-0.125651	-0.036046	-0.089604	
MZ22528765	MZ22520257	26	0.117721	-0.030886	1.000000	-0.012310	1.012310	
MZ22528218	MZ22509788	0	1.000000	0.489002	0.516451	0.516624	-0.000173	
MZ22530161	MZ22515305	0	0.738963	0.640567	0.490257	0.657931	-0.167674	
MZ22528909	MZ22516877	32	0.012807	-0.012586	1.000000	-0.009765	1.009765	
MZ22516940	MZ22516071	0	0.666667	0.577681	0.575295	0.594366	-0.019071	
MZ22508040	MZ22503867	0	-0.339057	0.333333	0.173090	0.221268	-0.048178	
MZ22528963	MZ22521696	0	0.129838	1.000000	0.759625	0.891230	-0.131605	
MZ22528983	MZ22509788	0	1.000000	0.489002	0.516451	0.516624	-0.000173	
MZ22528651	MZ22504918	0	0.750000	0.086849	0.040462	0.234216	-0.193754	
MZ22506348	MZ22507135	42	0.022845	-0.000628	0.918516	0.003514	0.915001	
MZ22506632	MZ22502318	35	0.555036	-0.106270	0.152597	-0.001853	0.154450	
MZ22530558	MZ22506226	0	1.000000	0.940128	0.939552	0.947612	-0.008060	
MZ22528532	MZ22523837	26	0.273290	0.028614	1.000000	0.055800	0.944200	
MZ22528993	MZ22513478	0	-0.500000	1.000000	0.823529	0.823529	0.000000	
MZ22510658	MZ22509401	27	0.141884	0.436988	0.938710	0.387804	0.550906	
MZ22504397	MZ22500913	66	0.001387	0.061681	0.044201	0.040401	0.003801	
MZ22518612	MZ22503849	24	0.674604	0.084059	0.295479	0.188273	0.107206	
MZ22530094	MZ22523230	0	0.000000	0.882631	0.770651	0.784561	-0.013910	
MZ22518279	MZ22511606	42	0.129083	-0.073432	1.000000	-0.037694	1.037694	
MZ22526887	MZ22512079	0	0.976067	0.800000	0.778479	0.820714	-0.042234	
MZ22519119	MZ22518135	7	-0.422445	0.308975	0.089929	0.171834	-0.081905	
MZ22523024	MZ22514750	0	0.500000	0.983366	0.871970	0.875951	-0.003981	
MZ22530435	MZ22514296	0	1.000000	0.857143	0.875000	0.875000	-0.000000	
MZ22527276	MZ22501258	21	0.949738	-0.066107	0.013896	0.149375	-0.135480	
MZ22528265	MZ22502275	21	-1.000000	0.359247	1.000000	0.241052	0.758948	
MZ22529374	MZ22504087	0	0.000000	1.000000	0.900000	0.900000	0.000000	
MZ22529063	MZ22503239	0	0.000000	0.850000	0.772727	0.772727	0.000000	
MZ22528867	MZ22500177	0	1.000000	0.347039	0.345398	0.412335	-0.066938	
MZ22526774	MZ22510445	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22527758	MZ22519349	0	0.333333	1.000000	0.904762	0.904762	0.000000	
MZ22529418	MZ22522743	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22524171	MZ22510682	19	-0.022720	0.354317	0.407275	0.263828	0.143447	
MZ22524626	MZ22517026	0	0.300000	0.888889	0.678571	0.678572	-0.000000	
MZ22527640	MZ22529356	12	0.268692	0.113504	1.000000	0.202183	0.797817	
MZ22530173	MZ22523997	0	0.000000	0.710369	0.570690	0.585010	-0.014319	
MZ22523364	MZ22510210	0	1.000000	0.954504	0.954273	0.965878	-0.011605	
MZ22530796	MZ22500369	0	0.000000	1.000000	0.909091	0.909091	0.000000	
MZ22530518	MZ22502941	0	0.000000	0.845067	0.744155	0.760560	-0.016405	
MZ22514760	MZ22501513	113	0.325641	0.250657	1.000000	0.273729	0.726271	
MZ22530497	MZ22509215	0	1.000000	0.417943	0.471922	0.486420	-0.014498	
MZ22516579	MZ22502270	32	0.241434	0.334521	0.795022	0.310237	0.484784	
MZ22527891	MZ22512438	0	0.192585	1.000000	0.691152	0.806220	-0.115069	
MZ22529989	MZ22503050	14	-0.500000	0.668922	0.904762	0.557596	0.347166	
MZ22528207	MZ22509097	2	0.217473	0.810828	0.572539	0.731714	-0.159175	
MZ22522705	MZ22501431	0	0.472309	1.000000	0.656360	0.873354	-0.216994	
MZ22528741	MZ22530034	0	1.000000	0.500000	0.666667	0.666667	0.000000	
MZ22526136	MZ22510496	4	0.695753	0.359336	0.367283	0.439435	-0.072152	
MZ22530257	MZ22506156	0	0.000000	0.888889	0.800000	0.800000	-0.000000	
MZ22523645	MZ22508678	4	0.596661	0.752524	0.690013	0.719125	-0.029111	
MZ22513220	MZ22511907	0	0.500000	0.624216	0.576700	0.584467	-0.007767	
MZ22521467	MZ22519064	12	0.477610	0.704803	0.842552	0.656611	0.185942	
MZ22529673	MZ22500466	0	0.000000	0.200121	0.107695	0.179056	-0.071361	
MZ22531028	MZ22501420	0	0.000000	0.913666	0.801915	0.812148	-0.010233	
MZ22527321	MZ22522860	48	0.497680	0.683235	0.888421	0.624639	0.263783	
MZ22519775	MZ22511178	61	0.218836	0.771453	0.962963	0.587247	0.375716	
MZ22528781	MZ22509478	6	0.935805	0.932332	1.000000	0.932648	0.067352	
MZ22525206	MZ22501763	0	0.659517	1.000000	0.645594	0.904665	-0.259071	
MZ22526784	MZ22503546	0	0.400000	0.230188	0.089451	0.268782	-0.179331	
MZ22515112	MZ22503042	0	0.777778	1.000000	0.923077	0.923077	-0.000000	
MZ22525670	MZ22523306	0	0.750000	0.892732	0.852436	0.861014	-0.008577	
MZ22519385	MZ22504464	90	0.840602	0.175434	0.428482	0.308468	0.120014	
MZ22524020	MZ22523609	114	0.538388	0.439417	0.609091	0.464867	0.144224	
MZ22527166	MZ22507789	0	0.000000	1.000000	0.818182	0.818182	0.000000	
MZ22514283	MZ22520040	0	-0.171578	1.000000	0.424296	0.609474	-0.185178	
MZ22529126	MZ22517546	0	0.598531	0.670960	0.428107	0.660613	-0.232506	
MZ22526415	MZ22514741	0	0.600000	1.000000	0.846154	0.846154	0.000000	
MZ22528150	MZ22521092	0	0.642919	1.000000	0.818360	0.964292	-0.145932	
MZ22530615	MZ22527395	0	-0.500000	0.470588	0.368421	0.368421	0.000000	
MZ22529342	MZ22508180	0	0.000000	-0.754398	-0.568426	-0.502932	-0.065494	
MZ22521293	MZ22503940	4	0.367711	0.933662	0.733900	0.768593	-0.034693	
MZ22526185	MZ22523519	0	0.490501	0.963539	0.578369	0.793245	-0.214876	
MZ22530333	MZ22525868	0	1.000000	0.924287	0.923559	0.933751	-0.010192	
MZ22530620	MZ22521755	0	0.000000	1.000000	0.894737	0.894737	0.000000	
MZ22521669	MZ22505673	21	-0.056789	0.250702	0.621786	0.189204	0.432582	
MZ22520595	MZ22523991	14	-0.005955	-0.146879	0.846154	-0.103518	0.949672	
MZ22526944	MZ22520145	0	0.000000	0.666667	0.480000	0.480000	-0.000000	
MZ22527394	MZ22506331	3	0.878713	0.297404	0.257022	0.484253	-0.227232	
MZ22507360	MZ22510974	33	-0.220738	0.422963	-0.102171	0.120045	-0.222216	
MZ22526980	MZ22510968	0	0.000000	0.955669	0.773377	0.781911	-0.008534	
MZ22530556	MZ22514542	0	1.000000	0.742376	0.739514	0.776726	-0.037212	
MZ22525354	MZ22508041	98	0.548634	0.217412	0.962963	0.315552	0.647411	
MZ22527778	MZ22513116	2	0.197971	0.809189	0.608147	0.729465	-0.121318	
MZ22528938	MZ22503037	0	0.000000	0.803730	0.697176	0.719127	-0.021951	
MZ22520048	MZ22509725	43	-0.050183	0.314618	0.217210	0.267035	-0.049826	
MZ22528263	MZ22517379	0	0.121428	0.937500	0.586165	0.774286	-0.188120	
MZ22527725	MZ22522978	28	-0.236634	0.630496	0.900000	0.457070	0.442930	
MZ22522354	MZ22517260	0	0.000000	1.000000	0.850000	0.850000	0.000000	
MZ22527008	MZ22509201	0	0.666667	0.901955	0.861915	0.868342	-0.006427	
MZ22524597	MZ22512764	0	0.706968	0.909091	0.714508	0.845928	-0.131420	
MZ22529885	MZ22521939	0	0.000000	1.000000	0.857143	0.857143	0.000000	
MZ22527796	MZ22509310	0	1.000000	0.987856	0.987674	0.991126	-0.003451	
MZ22514725	MZ22515107	0	0.190943	0.941176	0.669516	0.828641	-0.159125	
MZ22526427	MZ22521665	0	0.094942	1.000000	0.500736	0.736025	-0.235289	
MZ22528004	MZ22500013	0	1.000000	0.038164	0.048867	0.093126	-0.044259	
MZ22530077	MZ22526151	0	-1.000000	0.700107	0.433954	0.438552	-0.004598	
MZ22530424	MZ22520344	0	1.000000	0.829223	0.832107	0.849314	-0.017208	
MZ22525478	MZ22502229	0	-0.333333	0.662874	0.469565	0.520559	-0.050994	
MZ22530170	MZ22522192	0	0.000000	0.857143	0.705882	0.705882	-0.000000	
MZ22530288	MZ22519290	16	-0.500000	0.444324	0.808332	0.349892	0.458441	
MZ22528236	MZ22519592	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22527856	MZ22512253	0	1.000000	0.984249	0.984116	0.986499	-0.002383	
MZ22527802	MZ22515856	0	0.500000	0.897906	0.806145	0.814136	-0.007992	
MZ22530828	MZ22500164	0	0.000000	1.000000	0.900000	0.900000	0.000000	
MZ22529649	MZ22520977	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22525925	MZ22511340	6	0.000000	0.516604	0.941176	0.395050	0.546126	
MZ22529683	MZ22513391	0	0.000000	0.833333	0.750000	0.750000	0.000000	
MZ22529754	MZ22513972	0	-0.500000	1.000000	0.850000	0.850000	0.000000	
MZ22530564	MZ22516503	0	1.000000	0.937500	0.947368	0.947368	0.000000	
MZ22529329	MZ22511180	0	1.000000	0.014943	0.019576	0.124394	-0.104818	
MZ22522414	MZ22518875	14	-0.600000	0.631458	0.913043	0.363750	0.549294	
MZ22529517	MZ22526838	0	1.000000	0.383109	0.430203	0.506487	-0.076284	
MZ22527975	MZ22500063	129	0.060462	-0.139114	-0.090977	-0.126098	0.035121	
MZ22529460	MZ22526667	0	1.000000	-0.333333	0.200000	0.200000	-0.000000	
MZ22526169	MZ22508669	0	0.900000	0.840683	0.858498	0.862652	-0.004154	
MZ22529992	MZ22511896	0	0.000000	0.861720	0.779719	0.783382	-0.003663	
MZ22529502	MZ22505703	2	0.858712	0.181167	0.021303	0.256450	-0.235147	
MZ22529138	MZ22502699	34	0.122521	0.115400	0.972257	0.116150	0.856107	
MZ22530555	MZ22508343	0	1.000000	0.580601	0.578382	0.620544	-0.042161	
MZ22515370	MZ22521387	2	-0.370444	0.796383	0.436801	0.472264	-0.035463	
MZ22508960	MZ22503251	0	1.000000	0.330020	0.366603	0.553347	-0.186743	
MZ22531033	MZ22521438	0	0.000000	1.000000	0.888889	0.888889	0.000000	
MZ22527038	MZ22523010	0	0.000000	0.320293	0.200400	0.240220	-0.039820	
MZ22521705	MZ22520154	0	0.353444	1.000000	0.614348	0.760535	-0.146187	
MZ22527321	MZ22515609	10	0.497680	0.724563	0.464918	0.670111	-0.205193	
MZ22527704	MZ22502998	1	-0.333333	0.993643	0.904762	0.804075	0.100687	
MZ22522844	MZ22504428	0	0.080229	0.403989	0.188601	0.359840	-0.171239	
MZ22530530	MZ22529356	0	1.000000	0.113504	0.178937	0.468102	-0.289165	
MZ22514161	MZ22503853	51	-0.116093	0.415907	1.000000	0.294998	0.705002	
MZ22527378	MZ22514148	0	0.800000	0.878891	0.826729	0.859168	-0.032440	
MZ22530984	MZ22526187	0	0.000000	0.941176	0.727273	0.727272	0.000000	
MZ22514171	MZ22505975	0	0.144533	1.000000	0.545664	0.760469	-0.214805	
MZ22502466	MZ22505904	0	0.768442	0.841227	0.714865	0.816965	-0.102100	
MZ22530297	MZ22502497	0	0.000000	1.000000	0.904762	0.904762	0.000000	
MZ22530644	MZ22503001	0	-0.500000	1.000000	0.850000	0.850000	0.000000	
MZ22527664	MZ22512860	48	0.485131	0.516461	1.000000	0.511514	0.488486	
MZ22520225	MZ22511615	0	0.565883	1.000000	0.560662	0.844958	-0.284296	
MZ22526097	MZ22503353	0	-0.250000	1.000000	0.761905	0.761905	0.000000	
MZ22527793	MZ22511990	0	0.666667	1.000000	0.958333	0.958333	-0.000000	
MZ22526899	MZ22523214	0	0.004017	0.971152	0.639968	0.800481	-0.160513	
MZ22524975	MZ22502060	0	0.666667	1.000000	0.950000	0.950000	-0.000000	
MZ22528175	MZ22501392	0	-0.144527	1.000000	0.813598	0.890997	-0.077400	
MZ22530395	MZ22522651	0	0.000000	0.875000	0.777778	0.777778	0.000000	
MZ22525422	MZ22502963	105	0.606332	0.279008	0.326913	0.388116	-0.061203	
MZ22530042	MZ22501013	2	-0.500000	0.981785	0.950000	0.833606	0.116394	
MZ22529339	MZ22500776	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22527096	MZ22508337	0	0.634867	1.000000	0.880097	0.908717	-0.028620	
MZ22512966	MZ22501838	129	0.410374	0.204868	0.349389	0.258147	0.091241	
MZ22526633	MZ22515236	0	1.000000	0.955570	0.956689	0.971438	-0.014749	
MZ22530078	MZ22510489	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22530853	MZ22523657	0	0.000000	1.000000	0.900000	0.900000	0.000000	
MZ22527470	MZ22502658	0	0.401492	1.000000	0.779673	0.885998	-0.106326	
MZ22529746	MZ22506651	0	0.000000	1.000000	0.904762	0.904762	0.000000	
MZ22529525	MZ22501169	0	0.000000	0.956642	0.856387	0.860978	-0.004591	
MZ22530420	MZ22503993	8	-0.666667	0.876765	0.950000	0.645250	0.304750	
MZ22520639	MZ22506122	1	0.727306	0.291484	0.216991	0.441767	-0.224776	
MZ22509959	MZ22508211	0	0.271685	0.242784	0.042932	0.247601	-0.204669	
MZ22523504	MZ22508304	10	0.891040	0.221421	0.321981	0.269251	0.052730	
MZ22530043	MZ22508398	0	0.000000	1.000000	0.900000	0.900000	0.000000	
MZ22517259	MZ22510127	0	0.750000	0.333333	0.461538	0.461538	0.000000	
MZ22526249	MZ22525005	3	0.334584	0.149123	0.333333	0.221247	0.112087	
MZ22526076	MZ22523187	0	0.500000	0.947368	0.869565	0.869565	0.000000	
MZ22531130	MZ22500922	0	1.000000	0.875401	0.876157	0.889245	-0.013089	
MZ22529798	MZ22512102	0	0.000000	0.938258	0.843777	0.844432	-0.000655	
MZ22522877	MZ22506676	0	0.000000	0.983762	0.840768	0.843225	-0.002456	
MZ22527006	MZ22513269	0	0.937962	1.000000	0.928656	0.984491	-0.055834	
MZ22527057	MZ22520559	0	1.000000	0.933333	0.956522	0.956522	0.000000	
MZ22526484	MZ22524955	0	1.000000	0.323843	0.488041	0.522713	-0.034671	
MZ22530850	MZ22503428	0	0.000000	1.000000	0.904762	0.904762	0.000000	
MZ22530108	MZ22505701	0	-0.500000	1.000000	0.850000	0.850000	0.000000	
MZ22527258	MZ22511741	0	1.000000	0.109095	0.106117	0.242731	-0.136614	
MZ22529085	MZ22516786	0	0.000000	1.000000	0.894737	0.894737	0.000000	
MZ22523844	MZ22500926	0	0.666667	1.000000	0.888889	0.888889	-0.000000	
MZ22525898	MZ22505714	0	0.171503	1.000000	0.571108	0.704108	-0.133000	
MZ22529085	MZ22502846	0	0.000000	0.961628	0.861402	0.865465	-0.004063	
MZ22526153	MZ22503671	0	0.715554	0.745986	0.456101	0.739370	-0.283269	
MZ22522854	MZ22517689	0	0.400000	0.919673	0.793952	0.811408	-0.017456	
MZ22518702	MZ22508903	0	-0.059097	1.000000	0.536793	0.703453	-0.166659	
MZ22518748	MZ22516208	0	0.666667	1.000000	0.954545	0.954546	-0.000000	
MZ22518910	MZ22504647	16	0.499416	0.445690	0.947368	0.451345	0.496023	
MZ22528851	MZ22501713	0	0.000000	0.671299	0.577770	0.604169	-0.026399	
MZ22527851	MZ22503783	0	0.502055	1.000000	0.907172	0.928865	-0.021693	
MZ22525305	MZ22508859	21	-0.400000	0.833329	0.880000	0.586663	0.293337	
MZ22530227	MZ22501281	0	0.000000	0.099929	-0.004353	0.089936	-0.094289	
MZ22521082	MZ22513697	0	0.444075	1.000000	0.839352	0.861019	-0.021667	
MZ22526773	MZ22516290	0	0.566489	0.915201	0.602933	0.849818	-0.246885	
MZ22504100	MZ22502156	68	0.131942	0.096820	0.263178	0.103510	0.159668	
MZ22529534	MZ22502452	0	1.000000	0.491133	0.511341	0.544698	-0.033357	
MZ22530747	MZ22526372	0	0.000000	0.519714	0.305992	0.415771	-0.109779	
MZ22510940	MZ22503417	0	0.122592	-0.069179	-0.280674	-0.015483	-0.265191	
MZ22526889	MZ22509120	0	0.000000	0.833333	0.681818	0.681818	0.000000	
MZ22528434	MZ22503190	0	0.541886	1.000000	0.819938	0.956370	-0.136432	
MZ22528288	MZ22506963	0	0.676647	0.833333	0.692546	0.810949	-0.118403	
MZ22530369	MZ22517983	0	1.000000	0.098623	0.094346	0.188761	-0.094414	
MZ22530237	MZ22514129	0	1.000000	0.060199	0.096248	0.159125	-0.062878	
MZ22529982	MZ22508063	0	0.000000	0.940645	0.841677	0.846580	-0.004904	
MZ22528993	MZ22510575	0	-0.500000	0.722222	0.600000	0.600000	0.000000	
MZ22531108	MZ22503028	0	0.000000	1.000000	0.904762	0.904762	0.000000	
MZ22511660	MZ22506297	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22531250	MZ22527386	0	0.000000	0.000000	0.000000	0.000000	0.000000	
MZ22524893	MZ22510345	1	0.666667	0.995811	0.962963	0.886096	0.076867	
MZ22523671	MZ22503282	67	-0.603669	0.680510	0.995349	0.388651	0.606698	
MZ22520501	MZ22522584	1	-0.500000	0.403797	0.395471	0.264751	0.130720	
MZ22521705	MZ22509094	35	0.353444	0.733495	0.928571	0.597762	0.330809	
MZ22530013	MZ22523045	0	1.000000	0.767184	0.785047	0.793052	-0.008005	
MZ22524020	MZ22523627	5	0.538388	0.588465	0.239493	0.564744	-0.325251	
MZ22528235	MZ22502803	0	1.000000	0.944907	0.944616	0.950154	-0.005538	
MZ22530764	MZ22501460	0	0.000000	1.000000	0.904762	0.904762	0.000000	
MZ22516840	MZ22518021	0	0.555556	0.647059	0.615385	0.615385	-0.000000	
MZ22525820	MZ22503873	0	1.000000	0.856855	0.899142	0.904570	-0.005428	
MZ22514299	MZ22501221	60	0.113945	0.348497	0.530724	0.279000	0.251724	
MZ22530435	MZ22516439	0	1.000000	0.449969	0.446734	0.504972	-0.058238	
MZ22525117	MZ22516062	0	0.800000	0.359609	0.409754	0.489136	-0.079381	
MZ22530309	MZ22524691	1	0.974080	0.943868	0.968113	0.948516	0.019597	
MZ22528180	MZ22510778	0	0.000000	0.892721	0.786886	0.798750	-0.011864	
MZ22524748	MZ22516141	0	0.000000	0.515545	0.319301	0.417346	-0.098045	
