F1 	 F2_gene
MZ22528378	MZ22500047
MZ22530913	MZ22524141
MZ22529209	MZ22524733
MZ22528532	MZ22523837
MZ22529550	MZ22500923
MZ22517038	MZ22509079
MZ22530733	MZ22505306
MZ22523409	MZ22502636
MZ22518612	MZ22503849
MZ22509954	MZ22507549
MZ22520278	MZ22523370
MZ22530621	MZ22525617 
MZ22522546	MZ22515575
MZ22529409	MZ22510854
MZ22529409	MZ22502668
MZ22528530	MZ22507244
MZ22517047	MZ22510807
MZ22517047	MZ22511399
MZ22522635	MZ22513876
MZ22510054	MZ22500945
MZ22527725	MZ22522978
MZ22524770	MZ22524365
MZ22529339	MZ22500776
MZ22529339	MZ22512057
MZ22524137	MZ22520251
MZ22527661	MZ22505124
MZ22527661	MZ22500134
MZ22530896	MZ22524961
MZ22526888	MZ22513969
MZ22524739	MZ22516081
MZ22524739	MZ22512757
MZ22523125	MZ22505858
MZ22523125	MZ22524779
MZ22517038	MZ22524366
MZ22517038	MZ22521547
MZ22522586	MZ22509537
MZ22526413	MZ22501660
MZ22525440	MZ22516120
MZ22526041	MZ22518608
MZ22526927	MZ22502343
MZ22526927	MZ22513453
MZ22530780	MZ22521233
MZ22530780	MZ22505617
MZ22527040	MZ22519670
MZ22505845	MZ22510235
MZ22527389	MZ22508877
MZ22528408	MZ22518405
MZ22526185	MZ22523519
MZ22526185	MZ22514972
MZ22529105	MZ22529230
MZ22529230	MZ22502570
MZ22527791	MZ22526312
MZ22525184	MZ22525688
MZ22528677	MZ22525688
MZ22528677	MZ22520230
MZ22523582	MZ22511585
MZ22527855	MZ22504879
MZ22524185	MZ22522177
MZ22527657	MZ22512255
MZ22527657	MZ22522966
MZ22528078	MZ22512238
MZ22528078	MZ22500607
MZ22528742	MZ22507522
MZ22528742	MZ22519241
MZ22524806	MZ22515339
MZ22527042	MZ22519513
MZ22527042	MZ22512710
MZ22525206	MZ22501763
MZ22525206	MZ22517636
MZ22524808	MZ22515618
MZ22524808	MZ22520827
MZ22526157	MZ22527644
MZ22527550	MZ22523296
MZ22516937	MZ22517776
MZ22516937	MZ22503174
MZ22523692	MZ22505011
MZ22524546	MZ22521989
MZ22527782	MZ22502471
MZ22527224	MZ22514236
MZ22523612	MZ22509148
MZ22527079	MZ22503255
MZ22525122	MZ22520456
MZ22527628	MZ22525122
MZ22527628	MZ22527353
MZ22525741	MZ22506881
MZ22527881	MZ22504095
MZ22526420	MZ22505312
MZ22516550	MZ22501431
MZ22525812	MZ22511635
MZ22525812	MZ22513392
MZ22527379	MZ22501662
MZ22519002	MZ22520900
MZ22510687	MZ22502858
MZ22524802	MZ22508818
MZ22524802	MZ22523870
MZ22523870	MZ22520168
MZ22531025	MZ22524056
MZ22528077	MZ22500851
MZ22526863	MZ22522734
MZ22522460	MZ22516498
MZ22512723	MZ22506394
MZ22512723	MZ22502864
MZ22526936	MZ22526426
MZ22526936	MZ22519449
MZ22525655	MZ22507300
MZ22525655	MZ22515486
MZ22527772	MZ22519914
MZ22527772	MZ22504431
MZ22519479	MZ22504431
MZ22527188	MZ22503686
MZ22527711	MZ22503628
MZ22516742	MZ22503004
MZ22527498	MZ22520963
MZ22518413	MZ22520991
MZ22526751	MZ22506836
MZ22526751	MZ22525430
MZ22527342	MZ22526456
MZ22527813	MZ22500892
MZ22527813	MZ22527403
MZ22526930	MZ22518428
MZ22525813	MZ22518039
MZ22525813	MZ22504731
MZ22528334	MZ22503832
MZ22528334	MZ22513557
MZ22520905	MZ22517410
MZ22524023	MZ22518588
MZ22524023	MZ22515350
MZ22526466	MZ22511334
MZ22518605	MZ22501214
MZ22527241	MZ22523179
MZ22513006	MZ22504223
MZ22522244	MZ22515198
MZ22522244	MZ22509988
MZ22526793	MZ22507093
MZ22525648	MZ22508049
MZ22521728	MZ22519603
MZ22530044	MZ22502090
MZ22530008	MZ22505157
MZ22530008	MZ22522365
MZ22527769	MZ22519505
MZ22527963	MZ22512542
MZ22527963	MZ22514525
MZ22506124	MZ22508069
MZ22523830	MZ22515607
MZ22522919	MZ22521681
MZ22512883	MZ22525011
MZ22528248	MZ22504814
MZ22528248	MZ22514894
MZ22527133	MZ22505349
MZ22526059	MZ22501867
MZ22527232	MZ22526212
MZ22527232	MZ22524879
MZ22527636	MZ22515645
MZ22526784	MZ22522573
MZ22526784	MZ22503546
MZ22525826	MZ22502119
MZ22526072	MZ22521589
MZ22530325	MZ22510478
MZ22526828	MZ22508242
MZ22523422	MZ22508768
MZ22516601	MZ22513719
MZ22524977	MZ22500040
MZ22520036	MZ22516986
MZ22527613	MZ22505804
MZ22527613	MZ22518452
MZ22525702	MZ22510626
MZ22529441	MZ22522242
MZ22529441	MZ22509507
MZ22523099	MZ22513135
MZ22523099	MZ22517774
MZ22522037	MZ22516751
MZ22524778	MZ22519240
MZ22510487	MZ22512463
MZ22527990	MZ22512819
MZ22527990	MZ22504611
MZ22524652	MZ22518299
MZ22526624	MZ22513985
MZ22526624	MZ22511183
MZ22517009	MZ22500003
MZ22521979	MZ22510572
MZ22527203	MZ22500820
MZ22526415	MZ22503749
MZ22526415	MZ22514741
MZ22526065	MZ22506944
MZ22527195	MZ22508210
MZ22531003	MZ22504951
MZ22531003	MZ22518328
MZ22506488	MZ22506800
MZ22519285	MZ22509770
MZ22527202	MZ22510480
MZ22527202	MZ22503773
MZ22514990	MZ22501260
MZ22514990	MZ22513595
MZ22525140	MZ22517093
MZ22530903	MZ22519064
MZ22525771	MZ22518208
MZ22514907	MZ22513284
MZ22526939	MZ22502950
MZ22526939	MZ22515847
MZ22530908	MZ22519888
MZ22526862	MZ22518515
MZ22526862	MZ22507996
MZ22531023	MZ22509716
MZ22524293	MZ22514048
MZ22526994	MZ22508752
MZ22526994	MZ22511541
MZ22526464	MZ22504544
MZ22515520	MZ22512218
MZ22515520	MZ22500381
MZ22520010	MZ22509303
MZ22526680	MZ22522625
MZ22526680	MZ22504454
MZ22520422	MZ22505962
MZ22527652	MZ22516984
MZ22527652	MZ22507899
MZ22531103	MZ22502457
MZ22528858	MZ22513608
MZ22526633	MZ22519545
MZ22526633	MZ22515236
MZ22524847	MZ22500907
MZ22524361	MZ22515742
MZ22524626	MZ22517026
MZ22513245	MZ22503619
MZ22524893	MZ22510345
MZ22530284	MZ22521203
MZ22530284	MZ22510231
MZ22525805	MZ22514964
MZ22525805	MZ22521322
MZ22530051	MZ22524556
MZ22527499	MZ22516340
MZ22527499	MZ22505026
MZ22527979	MZ22505319
MZ22527979	MZ22503340
MZ22527880	MZ22519157
MZ22527070	MZ22511236
MZ22527283	MZ22524050
MZ22519946	MZ22507201
MZ22527768	MZ22525443
MZ22527768	MZ22525298
MZ22526929	MZ22519749
MZ22523329	MZ22507284
MZ22527681	MZ22512416
MZ22526290	MZ22500445
MZ22527687	MZ22512404
MZ22527687	MZ22513587
MZ22508040	MZ22507252
MZ22525245	MZ22504305
MZ22521776	MZ22515532
MZ22525628	MZ22509651
MZ22514466	MZ22521995
MZ22522061	MZ22502474
MZ22520631	MZ22508488
MZ22512937	MZ22507734
MZ22512937	MZ22511122
MZ22525925	MZ22511340
MZ22517710	MZ22511340
MZ22510171	MZ22517941
MZ22522005	MZ22517941
MZ22522005	MZ22514787
MZ22530991	MZ22509392
MZ22526713	MZ22511867
MZ22527478	MZ22525858
MZ22527588	MZ22505912
MZ22530777	MZ22502938
MZ22515586	MZ22501953
MZ22526090	MZ22504144
MZ22526090	MZ22527037
MZ22527004	MZ22525398
MZ22527004	MZ22523913
MZ22531253	MZ22505334
MZ22517860	MZ22507214
MZ22527321	MZ22522860
MZ22527321	MZ22515609
MZ22526402	MZ22501049
MZ22524637	MZ22503188
MZ22520756	MZ22525192
MZ22520756	MZ22522467
MZ22530736	MZ22501591
MZ22515911	MZ22501591
MZ22527796	MZ22509310
MZ22526898	MZ22515386
MZ22526898	MZ22508777
MZ22530476	MZ22527606
MZ22522193	MZ22506733
MZ22524574	MZ22522505
MZ22530115	MZ22508290
MZ22530115	MZ22500806
MZ22526102	MZ22518024
MZ22528634	MZ22505179
MZ22530309	MZ22517442
MZ22530309	MZ22524691
MZ22527581	MZ22526943
MZ22527920	MZ22511153
MZ22527081	MZ22510907
MZ22521883	MZ22506640
MZ22521883	MZ22518795
MZ22528091	MZ22517859
MZ22526169	MZ22509322
MZ22526169	MZ22508669
MZ22526184	MZ22523271
MZ22526286	MZ22523271
MZ22526286	MZ22519005
MZ22525837	MZ22519618
MZ22527500	MZ22513055
MZ22504205	MZ22504763
MZ22504248	MZ22511078
MZ22524186	MZ22515037
MZ22527376	MZ22509994
MZ22527376	MZ22501856
MZ22527913	MZ22504679
MZ22530292	MZ22505589
MZ22527227	MZ22524011
MZ22527227	MZ22522886
MZ22527859	MZ22521617
MZ22528227	MZ22504267
MZ22527377	MZ22506112
MZ22527377	MZ22515260
MZ22526238	MZ22509264
MZ22526838	MZ22512523
MZ22525148	MZ22515834
MZ22526252	MZ22506278
MZ22527665	MZ22525477
MZ22526427	MZ22521665
MZ22525758	MZ22507593
MZ22525758	MZ22512786
MZ22525765	MZ22506187
MZ22513602	MZ22501433
MZ22510483	MZ22512869
MZ22510483	MZ22512008
MZ22527896	MZ22501404
MZ22525347	MZ22526525
MZ22526422	MZ22519973
MZ22526422	MZ22518689
MZ22529500	MZ22513031
MZ22523627	MZ22518196
MZ22507861	MZ22509178
MZ22528098	MZ22504057
MZ22528423	MZ22500430
MZ22518012	MZ22520387
MZ22528054	MZ22503538
MZ22527530	MZ22502609
MZ22525831	MZ22516369
MZ22529532	MZ22505870
MZ22507824	MZ22511986
MZ22528203	MZ22523160
MZ22528203	MZ22509318
MZ22527985	MZ22520234
MZ22523722	MZ22518771
MZ22527077	MZ22516553
MZ22521816	MZ22512402
MZ22520378	MZ22519192
MZ22520378	MZ22502204
MZ22520639	MZ22506122
MZ22520639	MZ22521859
MZ22525368	MZ22523606
MZ22526370	MZ22514100
MZ22521652	MZ22519122
MZ22526437	MZ22518557
MZ22515112	MZ22503042
MZ22526567	MZ22513388
MZ22526567	MZ22510254
MZ22527378	MZ22507463
MZ22527378	MZ22514148
MZ22507920	MZ22521070
MZ22526665	MZ22501907
MZ22526665	MZ22500913
MZ22527064	MZ22521962
MZ22524976	MZ22518213
MZ22527139	MZ22515312
MZ22527139	MZ22519058
MZ22521647	MZ22520334
MZ22526745	MZ22507282
MZ22526745	MZ22508252
MZ22526889	MZ22509120
MZ22520035	MZ22524084
MZ22525546	MZ22513535
MZ22530573	MZ22511454
MZ22530573	MZ22524927
MZ22527487	MZ22524989
MZ22526972	MZ22508674
MZ22526634	MZ22525558
MZ22526634	MZ22526777
MZ22522609	MZ22513300
MZ22521847	MZ22512108
MZ22515098	MZ22512117
MZ22521704	MZ22519593
MZ22525040	MZ22505417
MZ22528386	MZ22508395
MZ22526093	MZ22509485
MZ22526197	MZ22500552
MZ22526241	MZ22505143
MZ22525037	MZ22510765
MZ22509892	MZ22522115
MZ22515362	MZ22505209
MZ22528683	MZ22500317
MZ22528683	MZ22514612
MZ22521237	MZ22509730
MZ22521237	MZ22518016
MZ22529729	MZ22508861
MZ22529729	MZ22504789
MZ22530269	MZ22517719
MZ22530269	MZ22523317
MZ22521851	MZ22517152
MZ22521851	MZ22515109
MZ22525156	MZ22506197
MZ22527394	MZ22506331
MZ22527394	MZ22503452
MZ22526982	MZ22520835
MZ22526982	MZ22515249
MZ22518994	MZ22506337
MZ22525036	MZ22500398
MZ22527755	MZ22523003
MZ22520225	MZ22504343
MZ22520225	MZ22511615
MZ22527673	MZ22511320
MZ22527673	MZ22510244
MZ22524534	MZ22520728
MZ22524534	MZ22503560
MZ22527198	MZ22501173
MZ22526127	MZ22508367
MZ22526127	MZ22519076
MZ22523645	MZ22508678
MZ22518758	MZ22518787
MZ22518758	MZ22501183
MZ22527874	MZ22500976
MZ22527874	MZ22505122
MZ22525687	MZ22516543
MZ22525687	MZ22503716
MZ22514331	MZ22502257
MZ22515885	MZ22506282
MZ22528458	MZ22514128
MZ22528458	MZ22528662
MZ22528662	MZ22521686
MZ22527940	MZ22503369
MZ22528288	MZ22506963
MZ22528288	MZ22513030
MZ22512069	MZ22504318
MZ22502981	MZ22514533
MZ22507023	MZ22508131
MZ22526790	MZ22523853
MZ22526790	MZ22516929
MZ22528743	MZ22515009
MZ22529186	MZ22501398
MZ22529186	MZ22511277
MZ22526070	MZ22508998
MZ22525820	MZ22519346
MZ22525820	MZ22503873
MZ22523860	MZ22522093
MZ22527217	MZ22514529
MZ22524517	MZ22504758
MZ22521055	MZ22520514
MZ22527455	MZ22503676
MZ22526544	MZ22522742
MZ22530619	MZ22512340
MZ22530619	MZ22507346
MZ22514785	MZ22504893
MZ22514785	MZ22523647
MZ22516112	MZ22504938
MZ22516112	MZ22507607
MZ22518417	MZ22502522
MZ22527750	MZ22510972
MZ22526275	MZ22506304
MZ22526942	MZ22500509
MZ22526942	MZ22511331
MZ22527635	MZ22524334
MZ22526057	MZ22515281
MZ22526057	MZ22516750
MZ22527955	MZ22503168
MZ22527955	MZ22514126
MZ22527181	MZ22518143
MZ22527704	MZ22502998
MZ22524861	MZ22508830
MZ22517480	MZ22507292
MZ22518346	MZ22523776
MZ22518346	MZ22504706
MZ22527889	MZ22504706
MZ22528586	MZ22510769
MZ22528586	MZ22504646
MZ22519929	MZ22506260
MZ22512875	MZ22502605
MZ22508411	MZ22501992
MZ22525938	MZ22519300
MZ22525938	MZ22523126
MZ22530208	MZ22516149
MZ22530208	MZ22526336
MZ22515781	MZ22515845
MZ22521380	MZ22506228
MZ22521380	MZ22519957
MZ22509729	MZ22502137
MZ22517287	MZ22502631
MZ22526175	MZ22524631
MZ22527215	MZ22518031
MZ22525083	MZ22516068
MZ22521454	MZ22516068
MZ22522583	MZ22503239
MZ22527405	MZ22500741
MZ22527405	MZ22515860
MZ22526809	MZ22512019
MZ22526809	MZ22506682
MZ22530487	MZ22504263
MZ22531151	MZ22505434
MZ22531151	MZ22526315
MZ22527194	MZ22504622
MZ22527194	MZ22512412
MZ22521965	MZ22511009
MZ22523635	MZ22513823
MZ22527664	MZ22512860
MZ22527664	MZ22502343
MZ22527648	MZ22526187
MZ22530442	MZ22527648
MZ22530442	MZ22522144
MZ22501323	MZ22505911
MZ22530664	MZ22501244
MZ22530664	MZ22502668
MZ22527586	MZ22527379
MZ22527586	MZ22523192
MZ22530175	MZ22520456
MZ22530175	MZ22523955
MZ22519703	MZ22510682
MZ22519703	MZ22519847
MZ22519936	MZ22512153
MZ22517048	MZ22513944
MZ22530826	MZ22526554
MZ22522566	MZ22505858
MZ22519839	MZ22509307
MZ22519839	MZ22510181
MZ22523199	MZ22505237
MZ22513302	MZ22500007
MZ22521119	MZ22511468
MZ22523477	MZ22520082
MZ22523477	MZ22512518
MZ22525356	MZ22521824
MZ22510313	MZ22501873
MZ22510313	MZ22501350
MZ22527741	MZ22515251
MZ22524530	MZ22508224
MZ22525480	MZ22526285
MZ22527224	MZ22525324
MZ22516393	MZ22506171
MZ22520342	MZ22510451
MZ22519837	MZ22503215
MZ22529921	MZ22500117
MZ22521039	MZ22503010
MZ22521039	MZ22505625
MZ22521943	MZ22514954
MZ22520505	MZ22509936
MZ22525154	MZ22503852
MZ22525624	MZ22505217
MZ22525624	MZ22507123
MZ22524689	MZ22502172
MZ22530136	MZ22512546
MZ22530136	MZ22516478
MZ22530209	MZ22521923
MZ22526856	MZ22517383
MZ22526856	MZ22518164
MZ22518957	MZ22502962
MZ22518957	MZ22501572
MZ22527660	MZ22527825
MZ22527825	MZ22509025
MZ22524872	MZ22503482
MZ22524872	MZ22507190
MZ22527682	MZ22519379
MZ22521082	MZ22513697
MZ22527016	MZ22517085
MZ22527016	MZ22517296
MZ22525898	MZ22519308
MZ22525898	MZ22505714
MZ22525670	MZ22523306
MZ22526852	MZ22527013
MZ22525240	MZ22525856
MZ22525240	MZ22523440
MZ22525328	MZ22523440
MZ22521354	MZ22510029
MZ22516401	MZ22512632
MZ22522134	MZ22508704
MZ22529426	MZ22508704
MZ22529426	MZ22518171
MZ22524735	MZ22505386
MZ22525150	MZ22517300
MZ22515355	MZ22511693
MZ22519541	MZ22505357
MZ22515302	MZ22505844
MZ22515302	MZ22510405
MZ22527365	MZ22510249
MZ22528030	MZ22502555
MZ22528030	MZ22510861
MZ22528766	MZ22517015
MZ22530497	MZ22502366
MZ22530497	MZ22509215
MZ22511586	MZ22513491
MZ22507861	MZ22503407
MZ22526690	MZ22510793
MZ22526690	MZ22513131
MZ22529637	MZ22521774
MZ22529637	MZ22515478
MZ22527805	MZ22509845
MZ22526803	MZ22506875
MZ22530529	MZ22521736
MZ22529240	MZ22514308
MZ22529240	MZ22513055
MZ22509408	MZ22509181
MZ22528995	MZ22504901
MZ22528995	MZ22527477
MZ22527477	MZ22514083
MZ22527124	MZ22510961
MZ22526774	MZ22510445
MZ22526774	MZ22512075
MZ22520632	MZ22512331
MZ22512331	MZ22510076
MZ22519385	MZ22514067
MZ22519385	MZ22504464
MZ22514589	MZ22504464
MZ22528945	MZ22500858
MZ22523406	MZ22523886
MZ22523406	MZ22521537
MZ22526826	MZ22521537
MZ22530177	MZ22526443
MZ22527612	MZ22506607
MZ22525948	MZ22512863
MZ22510593	MZ22511534
MZ22517259	MZ22510127
MZ22517259	MZ22514068
MZ22525998	MZ22525792
MZ22525998	MZ22508210
MZ22523429	MZ22501351
MZ22528723	MZ22526065
MZ22528723	MZ22526883
MZ22526883	MZ22500156
MZ22524317	MZ22500820
MZ22524317	MZ22512963
MZ22516282	MZ22502538
MZ22507435	MZ22502538
MZ22526173	MZ22522587
MZ22525810	MZ22502519
MZ22527570	MZ22514693
MZ22527570	MZ22504728
MZ22529223	MZ22506651
MZ22531120	MZ22505943
MZ22531120	MZ22526290
MZ22527549	MZ22512555
MZ22530152	MZ22518798
MZ22530152	MZ22504192
MZ22525203	MZ22500064
MZ22525203	MZ22516443
MZ22512600	MZ22517166
MZ22529321	MZ22519058
MZ22514952	MZ22506648
MZ22511902	MZ22513926
MZ22526428	MZ22506671
MZ22512272	MZ22523279
MZ22513037	MZ22503206
MZ22516763	MZ22505432
MZ22527537	MZ22512159
MZ22527389	MZ22519983
MZ22523466	MZ22505261
MZ22523466	MZ22514823
MZ22525650	MZ22504738
MZ22525650	MZ22509012
MZ22529475	MZ22505148
MZ22514062	MZ22511762
MZ22530279	MZ22519865
MZ22530279	MZ22521264
MZ22524070	MZ22518316
MZ22524962	MZ22513878
MZ22524962	MZ22507961
MZ22526962	MZ22509485
MZ22529440	MZ22512002
MZ22524537	MZ22510081
MZ22530282	MZ22513168
MZ22530282	MZ22507203
MZ22528013	MZ22512232
MZ22512047	MZ22510172
MZ22525530	MZ22501728
MZ22526493	MZ22500859
MZ22527104	MZ22519522
MZ22527398	MZ22501095
MZ22527398	MZ22512060
MZ22525831	MZ22502925
MZ22526846	MZ22504890
MZ22521128	MZ22505009
MZ22529178	MZ22505504
MZ22529178	MZ22524663
MZ22508325	MZ22500100
MZ22508325	MZ22502808
MZ22508510	MZ22502642
MZ22526431	MZ22515215
MZ22530383	MZ22515343
MZ22530383	MZ22509906
MZ22521676	MZ22508041
MZ22521676	MZ22503960
MZ22520673	MZ22509873
MZ22526356	MZ22517005
MZ22526356	MZ22503459
MZ22508400	MZ22521240
MZ22529588	MZ22526184
MZ22527018	MZ22519349
MZ22520616	MZ22506800
MZ22519587	MZ22517452
MZ22528758	MZ22526545
MZ22514170	MZ22503295
MZ22519901	MZ22509749
MZ22526730	MZ22510042
MZ22526730	MZ22515596
MZ22530779	MZ22515596
MZ22530779	MZ22526793
MZ22527941	MZ22527030
MZ22501328	MZ22501361
MZ22529148	MZ22517974
MZ22506795	MZ22501526
MZ22515566	MZ22504166
MZ22526840	MZ22524150
MZ22516561	MZ22512592
MZ22523749	MZ22510575
MZ22523749	MZ22522960
MZ22522960	MZ22515624
MZ22506306	MZ22502289
MZ22529945	MZ22522490
MZ22529945	MZ22502573
MZ22530062	MZ22513756
MZ22510958	MZ22506104
MZ22516910	MZ22514687
MZ22516910	MZ22519774
MZ22530135	MZ22512574
MZ22527867	MZ22522984
MZ22527867	MZ22507819
MZ22527106	MZ22502765
MZ22507310	MZ22502765
MZ22524783	MZ22506659
MZ22524783	MZ22504218
MZ22522320	MZ22508291
MZ22524941	MZ22517846
MZ22524941	MZ22502340
MZ22520203	MZ22520565
MZ22512892	MZ22512080
MZ22526249	MZ22504672
MZ22526249	MZ22525005
MZ22528768	MZ22527544
MZ22528768	MZ22511454
MZ22522094	MZ22524767
MZ22524767	MZ22507908
MZ22528980	MZ22523343
MZ22528980	MZ22505531
MZ22526299	MZ22506386
MZ22526299	MZ22514335
MZ22527762	MZ22526291
MZ22530785	MZ22512343
MZ22514944	MZ22505075
MZ22527556	MZ22510347
MZ22513137	MZ22507629
MZ22513137	MZ22503370
MZ22529932	MZ22509112
MZ22529133	MZ22506363
MZ22529133	MZ22514006
MZ22524313	MZ22504115
MZ22524459	MZ22508750
MZ22516840	MZ22515236
MZ22516840	MZ22518021
MZ22526662	MZ22511096
MZ22526662	MZ22521630
MZ22526899	MZ22519787
MZ22526899	MZ22523214
MZ22528228	MZ22513958
MZ22528228	MZ22525481
MZ22520200	MZ22506735
MZ22520200	MZ22515605
MZ22523035	MZ22520958
MZ22523035	MZ22515432
MZ22524274	MZ22502268
MZ22524274	MZ22521160
MZ22523718	MZ22524742
MZ22517768	MZ22507737
MZ22517768	MZ22514862
MZ22529694	MZ22509920
MZ22526707	MZ22513044
MZ22519233	MZ22523475
MZ22512619	MZ22511829
MZ22512619	MZ22518087
MZ22527778	MZ22513116
MZ22525132	MZ22523759
MZ22525739	MZ22507579
MZ22526328	MZ22521526
MZ22523896	MZ22517173
MZ22515181	MZ22517137
MZ22527653	MZ22521575
MZ22517242	MZ22502069
MZ22524327	MZ22517325
MZ22526968	MZ22518960
MZ22529744	MZ22507311
MZ22529744	MZ22501661
MZ22528281	MZ22501661
MZ22528281	MZ22500233
MZ22528937	MZ22506748
MZ22528937	MZ22517337
MZ22513846	MZ22521049
MZ22503000	MZ22513065
MZ22527109	MZ22526562
MZ22527821	MZ22511309
MZ22520186	MZ22513512
MZ22526576	MZ22521201
MZ22528534	MZ22519014
MZ22518402	MZ22511510
MZ22521554	MZ22503550
MZ22528050	MZ22515477
MZ22528050	MZ22500698
MZ22527129	MZ22500869
MZ22527129	MZ22525525
MZ22524614	MZ22508488
MZ22519714	MZ22522701
MZ22530068	MZ22518379
MZ22529307	MZ22523396
MZ22529307	MZ22520589
MZ22519301	MZ22512797
MZ22527276	MZ22501258
MZ22527276	MZ22512333
MZ22506885	MZ22510973
MZ22518611	MZ22518390
MZ22518611	MZ22514729
MZ22526924	MZ22527387
MZ22529488	MZ22526804
MZ22527640	MZ22520109
MZ22527640	MZ22529356
MZ22530530	MZ22529356
MZ22530530	MZ22527291
MZ22526499	MZ22526788
MZ22527034	MZ22527760
MZ22530539	MZ22527760
MZ22530539	MZ22525635
MZ22525635	MZ22511335
MZ22529636	MZ22505961
MZ22529636	MZ22502350
MZ22530703	MZ22527307
MZ22527307	MZ22504544
MZ22530237	MZ22514129
MZ22530237	MZ22500515
MZ22528538	MZ22517859
MZ22529400	MZ22514620
MZ22527338	MZ22517853
MZ22519516	MZ22508888
MZ22519516	MZ22505926
MZ22526951	MZ22500984
MZ22520865	MZ22506669
MZ22520865	MZ22512407
MZ22528117	MZ22518159
MZ22527006	MZ22519638
MZ22527006	MZ22513269
MZ22522922	MZ22525958
MZ22524489	MZ22502288
MZ22524489	MZ22515978
MZ22520153	MZ22518317
MZ22522432	MZ22512563
MZ22519866	MZ22517812
MZ22524653	MZ22511795
MZ22524653	MZ22509786
MZ22525579	MZ22516690
MZ22525579	MZ22510391
MZ22527316	MZ22513012
MZ22527316	MZ22518398
MZ22528263	MZ22517379
MZ22528263	MZ22508219
MZ22528208	MZ22519372
MZ22517009	MZ22515839
MZ22527473	MZ22507218
MZ22526783	MZ22502803
MZ22527894	MZ22509926
MZ22516466	MZ22504809
MZ22526736	MZ22525821
MZ22526736	MZ22514273
MZ22527074	MZ22517983
MZ22515801	MZ22511332
MZ22528088	MZ22513400
MZ22531042	MZ22507585
MZ22529492	MZ22513620
MZ22526029	MZ22519383
MZ22520556	MZ22516527
MZ22520556	MZ22504296
MZ22524386	MZ22503840
MZ22521798	MZ22520032
MZ22521798	MZ22510396
