F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s12 	 s 	 d 
MZ22504089	MZ22504049	1	0.933272	0.714663	0.678196	0.834898	-0.156702	
MZ22529861	MZ22510589	1	-1.000000	0.689935	0.616703	0.512047	0.104656	
MZ22504572	MZ22507110	1	0.933467	0.838381	0.769798	0.885924	-0.116126	
MZ22524207	MZ22530766	1	0.350853	-1.000000	0.176568	-0.099431	0.275999	
MZ22502898	MZ22520950	1	0.792237	0.770507	0.623039	0.782840	-0.159801	
MZ22521875	MZ22514321	1	0.943630	0.908842	0.849637	0.925675	-0.076038	
MZ22502471	MZ22511343	1	0.934978	0.588891	0.645699	0.744630	-0.098931	
MZ22510111	MZ22519973	1	0.894184	0.932051	0.821395	0.913118	-0.091723	
MZ22519053	MZ22504602	1	0.937106	0.914281	0.847737	0.926294	-0.078557	
MZ22507876	MZ22525955	1	0.733746	0.698868	0.603630	0.715549	-0.111919	
MZ22507044	MZ22517798	1	0.938200	0.941883	0.888105	0.938870	-0.050764	
MZ22509673	MZ22516255	1	0.889329	0.920801	0.804528	0.904139	-0.099611	
MZ22515575	MZ22517955	1	0.808802	0.876641	0.701680	0.842722	-0.141042	
MZ22517655	MZ22518814	1	0.899784	0.131965	0.369760	0.537203	-0.167443	
MZ22509487	MZ22527568	1	0.688145	-1.000000	0.514958	0.434923	0.080035	
MZ22515960	MZ22516326	1	0.903610	0.683971	0.686091	0.790822	-0.104732	
MZ22502698	MZ22521706	1	0.702473	0.869493	0.602328	0.753864	-0.151536	
MZ22509949	MZ22513174	1	0.766412	0.756062	0.610132	0.761089	-0.150957	
MZ22519974	MZ22509249	1	0.584414	0.845082	0.551649	0.718472	-0.166823	
MZ22522295	MZ22504268	1	0.341944	0.911841	0.548911	0.649996	-0.101086	
MZ22518666	MZ22517375	1	0.618207	0.866356	0.573435	0.742281	-0.168846	
MZ22507912	MZ22525336	1	0.550898	0.299952	0.341279	0.483336	-0.142057	
MZ22501863	MZ22521054	1	0.895664	0.800825	0.726689	0.849526	-0.122837	
MZ22524472	MZ22501324	1	-0.280602	0.945517	0.311120	0.409090	-0.097970	
MZ22513238	MZ22530541	1	0.893591	0.972077	0.881885	0.901853	-0.019968	
MZ22500449	MZ22507662	1	0.952579	0.923460	0.872604	0.938413	-0.065809	
MZ22502300	MZ22507746	1	0.815822	0.926651	0.790589	0.869739	-0.079150	
MZ22507947	MZ22503915	1	0.859923	0.895481	0.761966	0.878183	-0.116217	
MZ22524030	MZ22501145	1	0.854920	0.899227	0.755812	0.878778	-0.122966	
MZ22522648	MZ22501078	1	0.927391	0.935281	0.858469	0.930977	-0.072509	
MZ22512093	MZ22502110	1	0.919141	0.925137	0.839939	0.922139	-0.082200	
MZ22515893	MZ22500770	1	0.804274	0.941358	0.802470	0.872816	-0.070346	
MZ22517798	MZ22504417	1	0.941883	0.914238	0.841979	0.919264	-0.077285	
MZ22519158	MZ22506719	1	0.563580	0.773593	0.480023	0.701998	-0.221975	
MZ22514337	MZ22515893	1	0.920411	0.804274	0.780627	0.864002	-0.083375	
MZ22527725	MZ22508299	1	-0.203478	0.943631	0.626120	0.735066	-0.108945	
MZ22526543	MZ22515867	1	0.902124	0.761204	0.693822	0.827519	-0.133698	
MZ22505481	MZ22515872	1	0.876603	0.781232	0.716850	0.830280	-0.113429	
MZ22512592	MZ22526426	1	0.935138	0.955496	0.887356	0.945009	-0.057652	
MZ22506265	MZ22513674	1	0.613657	0.607567	0.384807	0.610612	-0.225805	
MZ22503637	MZ22513353	1	0.482200	0.358692	0.197938	0.423877	-0.225939	
MZ22522765	MZ22509316	1	0.456982	0.902834	0.486881	0.679908	-0.193027	
MZ22500013	MZ22505849	1	0.905787	0.837026	0.750477	0.881518	-0.131041	
MZ22524658	MZ22515007	1	0.797562	0.701741	0.556850	0.752646	-0.195796	
MZ22525341	MZ22518094	1	0.428764	0.608516	0.272279	0.515916	-0.243637	
MZ22516557	MZ22524141	1	-0.064005	0.935070	0.667841	0.735255	-0.067414	
MZ22500364	MZ22511351	1	0.937195	0.234893	0.440754	0.586044	-0.145290	
MZ22519133	MZ22515002	1	0.229834	0.729544	0.393112	0.507451	-0.114338	
MZ22501109	MZ22505625	1	0.881076	0.932102	0.808324	0.907932	-0.099608	
MZ22516880	MZ22504212	1	0.475228	0.817208	0.580122	0.711983	-0.131862	
MZ22508179	MZ22515695	1	0.896441	-0.239295	0.628401	0.707152	-0.078751	
MZ22508320	MZ22514463	1	0.899603	0.905099	0.800568	0.902351	-0.101783	
MZ22508456	MZ22516064	1	0.934082	0.934265	0.863304	0.934151	-0.070848	
MZ22521059	MZ22523198	1	0.868348	0.850846	0.743583	0.860112	-0.116529	
MZ22504914	MZ22510999	1	0.927038	0.941171	0.864817	0.934105	-0.069287	
MZ22501784	MZ22514787	1	0.652118	0.801763	0.560811	0.726940	-0.166129	
MZ22509757	MZ22504710	1	0.953045	0.940911	0.893441	0.946978	-0.053537	
MZ22504835	MZ22502474	1	0.919955	0.926323	0.841701	0.923412	-0.081711	
MZ22500988	MZ22514174	1	0.324753	0.947550	0.412779	0.536504	-0.123725	
MZ22513471	MZ22524600	1	0.808523	0.861459	0.752722	0.830722	-0.078000	
MZ22529706	MZ22517629	1	-1.000000	0.934456	0.759842	0.741010	0.018832	
MZ22518360	MZ22504521	1	0.785765	0.895268	0.697198	0.843398	-0.146200	
MZ22510216	MZ22520518	1	0.892337	0.932579	0.821264	0.920197	-0.098933	
MZ22514542	MZ22502814	1	0.936868	0.793698	0.744229	0.853737	-0.109508	
MZ22509021	MZ22521694	1	0.805242	0.575733	0.562283	0.697660	-0.135376	
MZ22500438	MZ22511729	1	0.927956	0.464346	0.584332	0.709787	-0.125454	
MZ22521762	MZ22525927	1	0.576244	0.611956	0.418781	0.592612	-0.173831	
MZ22510163	MZ22517521	1	0.868839	0.591908	0.573481	0.734330	-0.160849	
MZ22523954	MZ22515058	1	0.894253	0.912520	0.802374	0.903387	-0.101013	
MZ22514640	MZ22517301	1	0.483018	0.682069	0.408210	0.576689	-0.168480	
MZ22502173	MZ22506961	1	0.880182	0.555499	0.577152	0.726385	-0.149233	
MZ22511871	MZ22524566	1	0.796554	0.878940	0.704836	0.834002	-0.129166	
MZ22509487	MZ22507585	1	0.688145	0.828409	0.624418	0.762173	-0.137755	
MZ22510345	MZ22512324	1	0.561878	0.899689	0.570941	0.730783	-0.159843	
MZ22527735	MZ22522546	1	0.536672	0.508216	0.360948	0.518564	-0.157615	
MZ22512805	MZ22525823	1	0.743423	0.799022	0.612160	0.760530	-0.148370	
MZ22502806	MZ22526529	1	0.512743	0.776429	0.448907	0.644586	-0.195679	
MZ22521880	MZ22507954	1	0.346532	0.956733	0.539797	0.660350	-0.120553	
MZ22512390	MZ22519104	1	0.786243	0.571121	0.505764	0.675609	-0.169845	
MZ22511430	MZ22517346	1	0.650974	0.878760	0.588380	0.767945	-0.179565	
MZ22502023	MZ22517703	1	0.904040	0.580450	0.572206	0.729799	-0.157594	
MZ22504186	MZ22511701	1	0.904137	0.900149	0.805092	0.902254	-0.097161	
MZ22502265	MZ22520596	1	0.345462	0.700858	0.334129	0.505390	-0.171261	
MZ22517411	MZ22509257	1	0.156092	0.921562	0.440211	0.620842	-0.180631	
MZ22506543	MZ22503034	1	0.913965	0.923403	0.834137	0.918563	-0.084426	
MZ22530636	MZ22500776	1	-1.000000	0.823607	0.648315	0.641246	0.007069	
MZ22523725	MZ22519510	1	0.118232	0.657139	0.223925	0.375970	-0.152045	
MZ22505550	MZ22513949	1	0.917605	0.892657	0.805036	0.905468	-0.100432	
MZ22527596	MZ22515766	1	0.865566	0.545396	0.519930	0.603609	-0.083679	
MZ22524987	MZ22510979	1	0.913562	0.845266	0.755652	0.866280	-0.110628	
MZ22506930	MZ22510477	2	0.669684	0.485079	0.314801	0.577381	-0.262580	
MZ22509191	MZ22515281	1	0.902179	0.956390	0.859387	0.930879	-0.071492	
MZ22512706	MZ22505952	1	0.875955	0.819186	0.739545	0.844824	-0.105279	
MZ22510968	MZ22518881	1	0.828227	0.893524	0.763295	0.871348	-0.108052	
MZ22523282	MZ22514998	1	0.956048	0.909506	0.865067	0.931408	-0.066341	
MZ22509791	MZ22501492	1	0.842658	0.932315	0.776253	0.891121	-0.114868	
MZ22504900	MZ22511468	1	0.876447	0.366728	0.371174	0.539840	-0.168666	
MZ22514779	MZ22514310	1	0.952520	0.940079	0.890086	0.946477	-0.056391	
MZ22505146	MZ22511529	1	0.941488	0.500486	0.631152	0.727287	-0.096135	
MZ22505230	MZ22521787	1	0.945212	0.574982	0.629177	0.770986	-0.141809	
MZ22524582	MZ22526806	1	0.362581	0.721713	0.399523	0.553370	-0.153847	
MZ22519500	MZ22515419	1	0.882051	0.685418	0.617456	0.783735	-0.166279	
MZ22502983	MZ22503921	1	0.933428	0.926942	0.856376	0.930278	-0.073902	
MZ22525629	MZ22520825	1	0.956773	0.576977	0.607398	0.721038	-0.113639	
MZ22522469	MZ22507614	1	0.951823	0.866199	0.829436	0.898677	-0.069241	
MZ22518119	MZ22506704	1	0.946905	0.592262	0.640113	0.759732	-0.119619	
MZ22520720	MZ22511430	1	0.439802	0.650974	0.368755	0.554987	-0.186232	
MZ22511078	MZ22503303	1	0.897282	0.947813	0.841101	0.922547	-0.081446	
MZ22500369	MZ22508124	1	0.912000	0.919067	0.826297	0.915247	-0.088950	
MZ22510870	MZ22516347	1	0.820159	0.934686	0.758139	0.875786	-0.117647	
MZ22515343	MZ22509408	1	0.131843	0.429070	0.008596	0.250734	-0.242138	
MZ22502706	MZ22500969	1	0.898791	0.939579	0.834426	0.919185	-0.084759	
MZ22507452	MZ22507100	1	0.857442	0.909761	0.762077	0.884394	-0.122317	
MZ22501444	MZ22520620	1	0.934924	0.909668	0.840099	0.922657	-0.082557	
MZ22518398	MZ22517029	1	0.217230	0.525154	0.264060	0.355265	-0.091205	
MZ22512839	MZ22509679	1	0.840023	0.604514	0.537808	0.715342	-0.177534	
MZ22507413	MZ22510990	1	0.744370	0.867064	0.656611	0.805717	-0.149106	
MZ22510894	MZ22509435	1	0.312927	0.937882	0.540061	0.634332	-0.094271	
MZ22519043	MZ22517433	1	0.531803	0.951596	0.630674	0.735702	-0.105028	
MZ22526879	MZ22527363	1	-0.056008	0.574650	0.375949	0.434504	-0.058555	
MZ22509025	MZ22506885	1	0.881380	0.638380	0.713341	0.810505	-0.097164	
MZ22515893	MZ22525125	1	0.804274	0.155507	0.464467	0.579701	-0.115234	
MZ22504599	MZ22508227	1	0.938460	0.943991	0.878768	0.941309	-0.062542	
MZ22513787	MZ22512144	1	0.889619	0.913731	0.799168	0.897038	-0.097870	
MZ22524827	MZ22508994	1	0.902494	0.923084	0.822097	0.913083	-0.090986	
MZ22503921	MZ22513567	1	0.926942	0.685391	0.680850	0.796374	-0.115524	
MZ22516186	MZ22518672	1	0.645850	0.933568	0.667670	0.789709	-0.122039	
MZ22506451	MZ22512182	1	0.927854	0.772579	0.727211	0.850217	-0.123006	
MZ22507199	MZ22517735	1	0.936767	0.876996	0.814244	0.905976	-0.091732	
MZ22524477	MZ22523768	1	-0.037816	0.643704	0.497312	0.495547	0.001764	
MZ22510073	MZ22522551	1	0.948174	0.960561	0.906932	0.953256	-0.046324	
MZ22519329	MZ22520063	1	0.647294	0.785086	0.551614	0.714222	-0.162608	
MZ22501492	MZ22512227	1	0.932315	0.899964	0.828147	0.916991	-0.088844	
MZ22503888	MZ22520527	1	0.858240	0.826629	0.747653	0.842862	-0.095209	
MZ22500846	MZ22521574	1	0.936806	0.152887	0.724773	0.766389	-0.041615	
MZ22510567	MZ22522267	1	0.937282	0.751454	0.703984	0.850562	-0.146578	
MZ22526806	MZ22513368	1	0.721713	0.923043	0.756636	0.825254	-0.068618	
MZ22507851	MZ22500572	1	0.923613	0.927810	0.847055	0.925775	-0.078720	
MZ22521311	MZ22512829	1	0.838623	0.911059	0.762275	0.873806	-0.111531	
MZ22521499	MZ22523114	1	0.951922	0.934242	0.887642	0.949270	-0.061628	
MZ22503550	MZ22524987	1	0.957757	0.913562	0.872172	0.943615	-0.071443	
MZ22513662	MZ22521385	1	0.788041	0.927976	0.744497	0.858008	-0.113511	
MZ22504637	MZ22503041	1	0.941318	0.194712	0.686655	0.711593	-0.024938	
MZ22525478	MZ22514542	1	-1.000000	0.936868	0.614151	0.573705	0.040446	
MZ22514202	MZ22514938	1	0.879532	0.792825	0.758124	0.843171	-0.085047	
MZ22500144	MZ22527540	1	0.923620	0.469683	0.831894	0.861008	-0.029114	
MZ22500584	MZ22515957	1	0.540606	0.844350	0.527844	0.670782	-0.142938	
MZ22521299	MZ22521773	1	0.904261	0.828970	0.718989	0.840858	-0.121869	
MZ22507465	MZ22513392	1	0.935546	0.929683	0.862351	0.932769	-0.070418	
MZ22513454	MZ22502649	1	0.822515	0.925099	0.759562	0.873807	-0.114245	
MZ22518415	MZ22517452	1	0.891460	0.938074	0.826250	0.915397	-0.089147	
MZ22513816	MZ22502204	1	0.906539	0.943874	0.846876	0.926807	-0.079930	
MZ22518682	MZ22500033	1	0.798373	0.930375	0.797933	0.868499	-0.070566	
MZ22519908	MZ22502347	1	0.842719	0.792294	0.677185	0.819946	-0.142762	
MZ22509181	MZ22515666	1	-0.078654	-0.046989	-0.255535	-0.063332	-0.192203	
MZ22508704	MZ22515420	1	0.881761	0.452639	0.546916	0.667200	-0.120284	
MZ22510414	MZ22504827	1	0.938874	0.894734	0.831627	0.916208	-0.084580	
MZ22507569	MZ22506825	1	0.955705	0.805652	0.759060	0.882822	-0.123762	
MZ22500369	MZ22512601	1	0.912000	0.591248	0.587311	0.755736	-0.168425	
MZ22504901	MZ22505799	1	0.953848	0.776348	0.764504	0.882848	-0.118344	
MZ22510832	MZ22530376	1	0.053069	-1.000000	0.122904	-0.180946	0.303850	
MZ22511465	MZ22524175	1	0.796330	0.729170	0.621639	0.771456	-0.149817	
MZ22513768	MZ22505814	1	0.743877	0.918260	0.720664	0.836518	-0.115854	
MZ22521773	MZ22522778	1	0.828970	0.962355	0.814888	0.883312	-0.068424	
MZ22525876	MZ22518108	1	-0.038543	0.921199	0.649985	0.681264	-0.031279	
MZ22517537	MZ22508823	1	0.869528	0.750906	0.665025	0.765734	-0.100709	
MZ22500986	MZ22507166	1	0.541333	0.787687	0.532805	0.667668	-0.134863	
MZ22520388	MZ22505026	1	0.884652	0.886309	0.779556	0.885627	-0.106070	
MZ22517781	MZ22505467	1	0.949072	0.955727	0.903762	0.952495	-0.048733	
MZ22515744	MZ22500243	1	0.914826	0.907982	0.818077	0.911306	-0.093229	
MZ22521267	MZ22501445	1	0.839694	0.911965	0.764250	0.880462	-0.116213	
MZ22503238	MZ22507845	1	0.831123	0.312232	0.423356	0.592714	-0.169357	
MZ22518814	MZ22529367	1	0.131965	0.954639	0.122858	0.218562	-0.095704	
MZ22520875	MZ22520280	1	0.500845	0.586299	0.353929	0.536681	-0.182752	
MZ22519847	MZ22518353	1	0.814569	0.671191	0.619621	0.740708	-0.121086	
MZ22518170	MZ22502541	1	0.895175	0.919592	0.809205	0.908493	-0.099289	
MZ22526545	MZ22503523	1	0.935490	0.844266	0.811700	0.878475	-0.066775	
MZ22504540	MZ22504247	1	0.931568	0.607922	0.621699	0.769745	-0.148046	
MZ22526160	MZ22506484	1	0.318650	0.915319	0.540419	0.665103	-0.124684	
MZ22503985	MZ22525541	1	0.916091	0.768537	0.729368	0.858123	-0.128755	
MZ22509135	MZ22520817	1	0.809983	0.722640	0.696868	0.766312	-0.069443	
MZ22525874	MZ22503417	1	0.612120	0.803629	0.538521	0.716579	-0.178059	
MZ22500769	MZ22516932	1	0.847225	0.508695	0.577853	0.687364	-0.109511	
MZ22514569	MZ22512807	1	0.802148	0.642990	0.545454	0.724609	-0.179156	
MZ22506470	MZ22522810	1	0.899090	0.458896	0.522181	0.685281	-0.163101	
MZ22502785	MZ22509337	1	0.782986	0.958558	0.785442	0.876259	-0.090816	
MZ22501467	MZ22504051	1	0.924474	0.935549	0.856347	0.930161	-0.073814	
MZ22522698	MZ22502409	1	0.407786	0.946995	0.515183	0.691580	-0.176397	
MZ22510649	MZ22525150	1	0.435816	0.477211	0.176762	0.450600	-0.273838	
MZ22502814	MZ22502899	1	0.793698	0.722531	0.607553	0.763854	-0.156301	
MZ22520285	MZ22512346	1	0.910673	0.940210	0.846764	0.925841	-0.079077	
MZ22508744	MZ22514635	1	0.873311	0.712649	0.667227	0.792980	-0.125753	
MZ22501996	MZ22503215	1	0.923518	0.892468	0.815632	0.908437	-0.092804	
MZ22521164	MZ22504635	1	0.922395	0.947695	0.863280	0.939262	-0.075982	
MZ22509249	MZ22500741	1	0.845082	0.922725	0.762902	0.883904	-0.121002	
MZ22502590	MZ22525291	1	0.718719	0.947274	0.714944	0.847281	-0.132337	
MZ22523999	MZ22520266	1	0.933894	0.923413	0.852011	0.929702	-0.077691	
MZ22503895	MZ22523360	1	0.848160	-0.800000	0.492512	0.489864	0.002647	
MZ22502809	MZ22518136	1	0.887574	0.713871	0.645085	0.808618	-0.163533	
MZ22508930	MZ22515744	1	0.839384	0.914826	0.748207	0.876027	-0.127820	
MZ22506553	MZ22500793	1	0.643804	0.931990	0.614872	0.780692	-0.165821	
MZ22529776	MZ22509393	1	-1.000000	0.622285	0.519923	0.474805	0.045118	
MZ22500466	MZ22504302	1	0.527018	0.857749	0.467305	0.649511	-0.182206	
MZ22505608	MZ22524116	1	0.777167	0.564187	0.467960	0.679805	-0.211845	
MZ22503083	MZ22510414	1	0.591179	0.938874	0.666602	0.760328	-0.093726	
MZ22525204	MZ22501396	1	0.368592	0.904872	0.447247	0.644857	-0.197611	
MZ22529521	MZ22516290	1	0.849626	0.890430	0.798628	0.884989	-0.086361	
MZ22520060	MZ22508599	1	0.711976	0.205734	0.243545	0.437159	-0.193614	
MZ22516736	MZ22503106	1	0.679221	0.882801	0.626637	0.787373	-0.160736	
MZ22518579	MZ22510313	1	0.924691	0.883928	0.797421	0.909162	-0.111742	
MZ22502373	MZ22506196	1	0.909561	0.783199	0.717428	0.853813	-0.136385	
MZ22510405	MZ22510469	1	0.897751	0.897642	0.790099	0.897698	-0.107599	
MZ22510292	MZ22512634	1	0.856025	0.781445	0.681839	0.817727	-0.135888	
MZ22513058	MZ22524469	1	0.317265	0.912376	0.406575	0.599943	-0.193368	
MZ22510268	MZ22509673	1	0.935215	0.889329	0.819511	0.912272	-0.092761	
MZ22506394	MZ22504907	1	0.628239	0.668512	0.438444	0.648986	-0.210542	
MZ22512618	MZ22503389	1	0.629979	0.895692	0.630663	0.766426	-0.135763	
MZ22527030	MZ22516840	1	0.874457	-0.000993	0.459721	0.559295	-0.099574	
MZ22513706	MZ22500413	1	0.878724	0.657542	0.645300	0.759626	-0.114326	
MZ22523475	MZ22522480	1	0.091061	0.510091	0.149523	0.288252	-0.138729	
MZ22502002	MZ22516925	1	0.662075	0.958834	0.715123	0.814694	-0.099571	
MZ22520519	MZ22502725	1	0.902394	0.866117	0.761319	0.881507	-0.120188	
MZ22525682	MZ22519521	1	0.465880	0.817235	0.525994	0.664981	-0.138988	
MZ22504258	MZ22515099	1	0.940432	0.674985	0.731439	0.874070	-0.142631	
MZ22524972	MZ22506353	1	0.950162	0.910391	0.856337	0.927264	-0.070926	
MZ22514570	MZ22505897	1	0.755789	0.589439	0.541556	0.675297	-0.133741	
MZ22505834	MZ22512491	1	0.821744	0.415884	0.498895	0.630751	-0.131856	
MZ22518016	MZ22509994	1	0.807669	0.645282	0.567185	0.721401	-0.154216	
MZ22517585	MZ22519104	1	0.761063	0.571121	0.440680	0.666092	-0.225412	
MZ22510632	MZ22509610	1	0.801445	0.908518	0.740467	0.848289	-0.107823	
MZ22526115	MZ22521111	1	0.876738	0.780406	0.689291	0.828572	-0.139281	
MZ22508624	MZ22516311	1	0.764536	0.928594	0.683286	0.889220	-0.205935	
MZ22516386	MZ22519816	1	0.921701	0.768647	0.757914	0.852131	-0.094217	
MZ22527880	MZ22526876	1	0.958152	0.467607	0.557829	0.658374	-0.100545	
MZ22515958	MZ22502462	1	0.953099	0.848875	0.809916	0.900987	-0.091071	
MZ22521791	MZ22508575	1	0.929971	0.728228	0.703357	0.776262	-0.072905	
MZ22507514	MZ22512794	1	0.930897	0.873402	0.799694	0.902150	-0.102455	
MZ22502076	MZ22517514	1	0.933716	0.688784	0.666991	0.826558	-0.159567	
MZ22518978	MZ22505411	1	0.923864	0.957244	0.876495	0.943683	-0.067189	
MZ22521250	MZ22501350	1	0.942380	0.831535	0.794235	0.878018	-0.083783	
MZ22502070	MZ22512900	1	0.909942	0.027812	0.342154	0.482243	-0.140088	
MZ22523804	MZ22509907	1	0.669383	0.921847	0.661498	0.803040	-0.141543	
MZ22502529	MZ22523231	1	0.909464	0.599999	0.665905	0.758913	-0.093008	
MZ22504731	MZ22510817	1	0.966563	0.896672	0.863572	0.930559	-0.066987	
MZ22527027	MZ22520945	1	0.915621	0.937924	0.842737	0.932855	-0.090118	
MZ22523755	MZ22514314	1	0.880860	0.948745	0.828308	0.907424	-0.079115	
MZ22515244	MZ22508914	1	0.163722	0.923996	0.464016	0.591376	-0.127360	
MZ22506543	MZ22512830	1	0.913965	0.927449	0.837392	0.920534	-0.083142	
MZ22519157	MZ22521774	1	0.522389	0.918230	0.563850	0.708667	-0.144817	
MZ22511757	MZ22522542	1	0.075247	0.497537	0.107512	0.320448	-0.212936	
MZ22513077	MZ22505334	1	0.867668	0.928228	0.790819	0.897948	-0.107129	
MZ22515022	MZ22501266	1	0.925237	0.917987	0.840972	0.921716	-0.080744	
MZ22515811	MZ22505970	1	0.894799	0.948733	0.841342	0.923352	-0.082010	
MZ22521162	MZ22518904	1	0.776928	0.947461	0.782872	0.849275	-0.066403	
MZ22506535	MZ22506550	1	0.919249	0.575022	0.649752	0.747136	-0.097383	
MZ22500124	MZ22518855	1	0.950297	0.924418	0.874017	0.938467	-0.064450	
MZ22505558	MZ22510937	1	0.875736	0.950196	0.820985	0.913972	-0.092987	
MZ22504582	MZ22507217	1	0.902836	0.931688	0.831518	0.916850	-0.085332	
MZ22529452	MZ22501040	1	0.930261	0.903325	0.833690	0.905890	-0.072201	
MZ22521773	MZ22502268	1	0.828970	0.903540	0.771486	0.872142	-0.100656	
MZ22515467	MZ22501486	1	0.368307	0.892284	0.431233	0.580393	-0.149160	
MZ22502430	MZ22523649	1	0.828608	0.212231	0.640786	0.740554	-0.099768	
MZ22518613	MZ22526415	1	0.353918	0.461033	0.230286	0.390854	-0.160568	
MZ22500817	MZ22507700	1	0.923950	0.592702	0.571317	0.734665	-0.163348	
MZ22526782	MZ22505655	1	-0.031869	0.952794	0.759825	0.773764	-0.013939	
MZ22515505	MZ22506066	1	0.934841	0.731235	0.706147	0.833038	-0.126891	
MZ22517065	MZ22500923	1	0.933582	0.166039	0.319893	0.459992	-0.140098	
MZ22509486	MZ22512797	1	0.910455	0.884215	0.787803	0.890179	-0.102376	
MZ22503256	MZ22515002	1	0.326503	0.729544	0.560194	0.628784	-0.068589	
MZ22517583	MZ22520794	1	0.758290	0.334946	0.465384	0.601837	-0.136452	
MZ22500173	MZ22519811	1	0.872405	0.939226	0.809911	0.900427	-0.090516	
MZ22521104	MZ22505268	1	0.270092	0.895057	0.447044	0.573105	-0.126061	
MZ22524088	MZ22506337	1	0.919182	0.393546	0.484261	0.632471	-0.148211	
MZ22502547	MZ22519005	1	0.872173	0.018539	0.240310	0.404051	-0.163741	
MZ22522174	MZ22503298	1	0.889443	0.944963	0.830831	0.918836	-0.088005	
MZ22522246	MZ22513915	1	0.918192	0.566197	0.637729	0.795759	-0.158029	
MZ22526545	MZ22501189	1	0.935490	0.892243	0.826486	0.910777	-0.084291	
MZ22506278	MZ22512839	1	0.912656	0.840023	0.751215	0.878476	-0.127261	
MZ22507813	MZ22503358	1	0.639576	0.693090	0.489429	0.666333	-0.176904	
MZ22500502	MZ22504460	1	0.689857	0.932608	0.708319	0.807952	-0.099634	
MZ22525608	MZ22502291	1	0.194604	0.930501	0.635438	0.732375	-0.096937	
MZ22516120	MZ22510009	1	0.882977	0.946057	0.823998	0.918228	-0.094230	
MZ22508480	MZ22502977	1	0.953589	0.940437	0.891088	0.946835	-0.055747	
MZ22512465	MZ22523801	1	0.833096	0.863438	0.735008	0.844334	-0.109326	
MZ22505018	MZ22516940	1	0.942987	0.285500	0.797823	0.857228	-0.059405	
MZ22510966	MZ22503654	1	-0.094666	0.741505	0.168492	0.346646	-0.178154	
MZ22521466	MZ22523763	1	0.544322	0.706472	0.397827	0.603286	-0.205458	
MZ22502197	MZ22519058	1	0.946519	0.850258	0.796386	0.904405	-0.108019	
MZ22518508	MZ22513172	1	0.702589	0.267052	0.287064	0.484820	-0.197756	
